Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Li3N,-0.43,-0.3951311860000004,-0.5021316465232828
Li3Sb,-0.83,-0.6358155035000004,-0.7505842422372706
MgCl2,-2.21,-1.8913275616666667,-2.1468137143797903
MgF2,-3.88,-3.557657021666667,-3.7889023364482113
MgO,-3.11,-2.73403203,-3.0518732302834026
MgS,-1.79,-1.4363882785,-1.7389205393939995
MgSe,-1.52,-1.2574964714999997,-1.4959003622496194
MgTe,-1.08,-0.8761872190000002,-1.0567114171091712
Mg3As2,-0.91,-0.6377885610000004,-0.8079601918437198
Mg3Bi2,-0.32,-0.2062711069999999,-0.38200686486737256
Mg3N2,-0.96,-0.7777204590000004,-0.9683582704908489
Mg3P2,-0.96,-0.6744241802000005,-0.9562028311277366
Mg3Sb2,-0.49,-0.37414083500000006,-0.5772078916332302
MnO,-2.0,-3.2865092680000005,-2.070678864228242
MnS,-1.11,-2.4279394815,-1.1968001383388396
MnS2,-0.72,-1.3487882883333338,-0.611647654881331
MnSb,-0.26,-1.5289476830000002,-0.1605579657809555
Mn2O3,-1.99,-2.8900125434,-1.9736431533316179
Mn3O4,-2.05,-3.0696702304285712,-2.0677405507306523
NaCl,-2.13,-1.8573641124999998,-2.017059995176835
NaF,-2.97,-2.7851117674999997,-2.926627021728151
NaSb,-0.33,-0.3411855954999998,-0.38599681652268725
NaTe3,-0.35,-0.3946065285000002,-0.428053624846199
Na2O,-1.43,-1.2641178083333335,-1.4334536327115923
Na2O2,-1.32,-1.13352027,-1.3308908044699734
Na2S,-1.26,-1.099315780666667,-1.2584456454519906
Na2S2,-1.03,-0.8587945659999998,-1.0408561610805713
Na2Se,-1.18,-1.089523287666667,-1.2059009056890704
Na2Se2,-0.97,-0.8480918590000002,-0.966025083936191
Na3As,-0.53,-0.4431711262500002,-0.5016502977403139
Na3Bi,-0.46,-0.39088298,-0.4528397308800973
Na3Sb,-0.53,-0.4514245200000002,-0.5304633326087582
NbN,-1.22,-1.0976364825000005,-1.1692556569192938
NbO2,-2.75,-2.4668114266666663,-2.720446344444744
Nb2O5,-2.81,-2.565970093571429,-2.823582118059084
NiF2,-2.25,-2.523125581666667,-2.519837871928815
NiO,-1.24,-1.619285755,-1.5853274185043071
NiS,-0.43,-0.6307784895000004,-0.5815112136149048
NiSb,-0.34,-0.41756065750000015,-0.23104300755702045
NiSe,-0.31,-0.44833153549999993,-0.3349358894705241
NiTe,-0.28,-0.2926094790000002,-0.12133414033007606
Ni2O3,-1.01,-1.0371151189999999,-1.0662433827524693
Ni2Te3,-0.3,-0.2957746497999999,-0.16012251094339155
Ni3P,-0.54,-0.6676026595000004,-0.4488429120943245
Ni3S2,-0.42,-0.5701193658000004,-0.4608272775446231
PdCl2,-0.69,-0.6214206489999997,-0.6512674124754442
PdO,-0.44,-0.6396678924999994,-0.6190500089268838
PdS,-0.39,-0.4653556625000004,-0.4294288395374819
PdS2,-0.28,-0.34751582799999997,-0.40718354134709206
Pd4S,-0.14,-0.3128814604000006,-0.10488447208018244
PtO,-0.37,-0.33715558750000074,-0.2065703310234932
PtO2,-0.57,-0.5364985366666666,-0.5432665872640344
PtS,-0.42,-0.4700189159999999,-0.32412472013409044
PtS2,-0.38,-0.3788427213333332,-0.3651988527448318
Pt3O4,-0.4,-0.5023487714285721,-0.4306292179837255
RbCl,-2.26,-1.9728834945,-2.168811723080881
RbF,-2.89,-2.6680822745,-2.845829874632198
RbSb,-0.52,-0.42946591599999984,-0.5105094829267331
RbSb2,-0.35,-0.30144344633333314,-0.34759117023467034
Rb2O,-1.17,-0.9108024210000002,-1.128448039916987
Rb2O2,-1.22,-1.0130435595000002,-1.24664643987402
Rb2S,-1.25,-1.0084794633333332,-1.215919122657385
Rb3Sb,-0.45,-0.3614084879999999,-0.494795819464827
RhCl3,-0.78,-0.7260185925,-0.787472322638247
RhO2,-0.85,-0.8669575066666665,-0.9304202288555672
Rh2O3,-0.84,-0.8004948890000001,-0.8203552226776558
Rh2S3,-0.54,-0.5310401732000003,-0.5325297796103726
ScAs,-1.39,-1.3668222000000005,-1.5432297582520684
ScCl3,-2.4,-2.1423165425,-2.4115849741509727
ScF3,-4.22,-3.9731470900000003,-4.215144578977948
Sc2O3,-3.94,-3.5542983709999993,-3.9066622270980176
SiO2,-3.13,-2.803848981666667,-3.0253985197547153
SiS2,-0.88,-0.6769133629999994,-0.8780509819021786
SiSe2,-0.61,-0.44637888366666684,-0.5620120090430044
Si3N4,-1.1,-1.1097584192857153,-1.122076927042871
SnO,-1.48,-1.3270908749999997,-1.4785504990253129
SnO2,-1.97,-1.6902222683333334,-1.8850202392652484
SnS,-0.57,-0.45671827500000006,-0.5928689596359105
SnS2,-0.53,-0.3884942663333331,-0.5628803180793783
SnSe,-0.47,-0.4416233579999993,-0.5136456724915299
SnSe2,-0.43,-0.3498411303333331,-0.438722688553538
SrO,-3.07,-2.742239685,-3.094094268746442
SrO2,-2.19,-1.9034518283333337,-2.231846439079335
SrS,-2.45,-2.1514619985000003,-2.48800764285704
Sr2Bi,-1.08,-0.7608038733333332,-1.011636138810478
Sr2Sb,-1.11,-0.8631316566666666,-1.1367400044486924
TaN,-1.3,-1.1508534425000008,-1.210037036015489
TaS2,-1.22,-1.055042698,-1.2799753093230042
TiAs,-0.78,-0.8403852014999993,-0.8653421731950521
TiCl4,-1.7,-1.5666675226,-1.7627271055297407
TiN,-1.58,-1.4602971140000003,-1.5108368115039648
TiO2,-3.26,-2.947335957666667,-3.1869178908345255
TiS,-1.41,-1.3168995425000007,-1.520226170489825
TiS2,-1.41,-1.3555598123333337,-1.5747298263153215
Ti2O3,-3.15,-2.8346577142,-3.0658611010524055
VF4,-2.91,-2.958707492,-2.9364725288725495
VN,-1.13,-1.0897063674999998,-0.6672322136557218
VO,-2.24,-2.7833719125000007,-2.5289936285309853
VO2,-2.47,-2.5217394133333335,-2.445978778935696
V2O3,-2.53,-2.8494750449999997,-2.7022673507738117
V2O5,-2.29,-2.212196722142857,-2.1874697019084715
YAs,-1.68,-1.5686961999999998,-1.7397010675377826
YCl3,-2.59,-2.3685834649999995,-2.63515055129383
YF3,-4.45,-4.170555865,-4.409852008620804
Y2O3,-3.95,-3.5880170589999993,-3.9360587625265895
ZnCl2,-1.43,-1.272810325,-1.4208753461497092
ZnF2,-2.64,-2.493185345,-2.617009528218131
ZnO,-1.81,-1.6871087999999999,-1.8438183029382809
ZnP2,-0.21,-0.2749230803333334,-0.4009945431016894
ZnS,-1.07,-0.9132343390000002,-1.0546349025488788
ZnSb,-0.08,-0.04772009899999974,-0.05187028849099429
ZnSe,-0.85,-0.786410059,-0.8636822524044985
ZnTe,-0.61,-0.5127095589999999,-0.5321020597640498
Zn3As2,-0.28,-0.20990152900000006,-0.18671512302957397
Zn3N2,-0.05,-0.10713457100000028,-0.10441434567670313
Zn3P2,-0.33,-0.25852632620000016,-0.3469469403135911
ZrN,-1.89,-1.7312193125000004,-1.8649424440943863
ZrO2,-3.8,-3.561123143333333,-3.8561606992281394
ZrS2,-1.96,-1.6459187013333338,-1.9205443380422693
