Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
MgF2,-3.88,-3.8893185533333328,-3.8799968661043143
MgO,-3.11,-3.080353797499999,-3.1390054496954463
MgS,-1.79,-1.6719959204999997,-1.791243591715359
MgSe,-1.52,-1.4494488399999987,-1.5576330634183062
MgTe,-1.08,-0.9896770650000022,-1.0783515730956275
Mg3As2,-0.91,-0.7497581740000001,-0.8193011752755638
Mg3Bi2,-0.32,-0.26177072599999746,-0.3725728501708943
Mg3N2,-0.96,-1.0132083139999992,-0.9592296409151203
Mg3P2,-0.96,-0.8128687360000001,-0.9677792154345994
Mg3Sb2,-0.49,-0.4232632859999995,-0.514682733335323
MnO,-2.0,-2.5313669574999995,-1.9025496376893223
MnS,-1.11,-1.6447267855000014,-1.0765054847092337
MnS2,-0.72,-1.0531879306666667,-0.679515259726692
MnSb,-0.26,-0.7460145549999986,-0.11705220374575376
Mn2O3,-1.99,-2.554095713000001,-2.029888367295817
Mn3O4,-2.05,-2.616970000000001,-2.0628740902653897
NaCl,-2.13,-2.1263367000000013,-2.088479813903051
NaF,-2.97,-3.0657736,-2.995143316264988
NaSb,-0.33,-0.4083855600000028,-0.34748547402135443
NaTe3,-0.35,-0.4766618725000029,-0.4384349044436249
Na2O,-1.43,-1.4829275283333334,-1.4371766053792996
Na2O2,-1.32,-1.3491958075000001,-1.288440752964922
Na2S,-1.26,-1.304470163666667,-1.2991165867259085
Na2S2,-1.03,-1.0317127929999987,-1.0315537574848328
Na2Se,-1.18,-1.2766228933333323,-1.263893684527872
Na2Se2,-0.97,-1.0106724474999993,-0.9994499641877823
Na3As,-0.53,-0.5452746175000005,-0.49328046582735574
Na3Bi,-0.46,-0.46358731750000004,-0.4373801176369341
Na3Sb,-0.53,-0.5332746325000013,-0.4949532596147055
NbN,-1.22,-1.280113274999998,-1.1841417421049378
NbO2,-2.75,-2.751616779999999,-2.7736417296231033
Nb2O5,-2.81,-2.8062876307142863,-2.8100565233514874
NiF2,-2.25,-2.5682017599999996,-2.440366600861141
NiO,-1.24,-1.5733306775000013,-1.454212121830686
NiS,-0.43,-0.6169367604999998,-0.5584142238505976
NiSb,-0.34,-0.3937330650000028,-0.27446947788711995
NiSe,-0.31,-0.41806285999999915,-0.3484768755535441
NiTe,-0.28,-0.29552063000000217,-0.20642493023086672
Ni2O3,-1.01,-1.1365382670000002,-1.0200899326089057
Ni2Te3,-0.3,-0.2751968260000012,-0.1947759186891176
Ni3P,-0.54,-0.5678566375000003,-0.4816719079753984
Ni3S2,-0.42,-0.5330575303999978,-0.45974556866839295
PdCl2,-0.69,-0.7104925800000004,-0.612378035411209
PdO,-0.44,-0.7409988124999991,-0.6009143833796635
PdS,-0.39,-0.5198711755000005,-0.4403827653995762
PdS2,-0.28,-0.3830287639999999,-0.3351780201869232
Pd4S,-0.14,-0.25867308620000246,-0.12223687678235251
PtO,-0.37,-0.48730748250000744,-0.1880933099719897
PtO2,-0.57,-0.7838751100000015,-0.549143178555255
PtS,-0.42,-0.6032369704999994,-0.3646188169919
PtS2,-0.38,-0.5308788606666658,-0.3769416212484676
Pt3O4,-0.4,-0.6975942285714325,-0.4260153022219616
RbCl,-2.26,-2.2183859550000005,-2.232308358783385
RbF,-2.89,-2.89480923,-2.8759582361453226
RbSb,-0.52,-0.5208630499999991,-0.5117422539016871
RbSb2,-0.35,-0.3530261766666645,-0.3115931418793423
Rb2O,-1.17,-1.1124121883333327,-1.1357003185530796
Rb2O2,-1.22,-1.1977141574999983,-1.1887383928452557
Rb2S,-1.25,-1.2071538203333319,-1.270839296566353
Rb3Sb,-0.45,-0.45615727500000247,-0.49550483693520775
RhCl3,-0.78,-0.9467351325000006,-0.7921653805200801
RhO2,-0.85,-1.0857631666666638,-0.8691296435765873
Rh2O3,-0.84,-1.1027195329999984,-0.8639127951475473
Rh2S3,-0.54,-0.6715736746000005,-0.5054821595714429
ScAs,-1.39,-1.532587565,-1.5198698630014924
ScCl3,-2.4,-2.429508265000001,-2.4183582365279648
ScF3,-4.22,-4.26830131,-4.207991185070872
Sc2O3,-3.94,-3.9208214390000022,-3.911486258760166
SiO2,-3.13,-3.0880142033333335,-3.045322632739205
SiS2,-0.88,-0.7499092573333334,-0.7880123787657544
SiSe2,-0.61,-0.4958448733333327,-0.5191967310363523
Si3N4,-1.1,-1.3707569928571428,-1.1382097510655254
SnO,-1.48,-1.4209586324999997,-1.4763175831981705
SnO2,-1.97,-1.9352483099999986,-1.9368984607060422
SnS,-0.57,-0.45923040549999783,-0.57518537521808
SnS2,-0.53,-0.44406675399999784,-0.5265115967325921
SnSe,-0.47,-0.41569332499999945,-0.5205848469210288
SnSe2,-0.43,-0.36417115999999794,-0.43186473900318845
SrO,-3.07,-3.049392772500001,-3.120266717749832
SrO2,-2.19,-2.1755699366666668,-2.187563417073816
SrS,-2.45,-2.4563990055,-2.5878689697697403
Sr2Bi,-1.08,-0.8767545500000011,-1.0225645031597708
Sr2Sb,-1.11,-0.9762841699999996,-1.1059418924634674
