Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
MgTe,-1.08,-0.9896770650000022,-1.0749717379129144
Mg3As2,-0.91,-0.7497581740000001,-0.8165201040838411
Mg3Bi2,-0.32,-0.26177072599999746,-0.376718615506104
Mg3N2,-0.96,-1.0132083139999992,-0.9666123250061588
Mg3P2,-0.96,-0.8128687360000001,-0.969199385838077
Mg3Sb2,-0.49,-0.4232632859999995,-0.5141968416547172
MnO,-2.0,-3.2929490475000005,-2.024127294188343
MnS,-1.11,-2.371236315499999,-1.1851486736869887
MnS2,-0.72,-1.3616654306666665,-0.6015264050329682
MnSb,-0.26,-1.375527990000002,-0.1383465333076792
Mn2O3,-1.99,-3.028987159000002,-1.9991877530962001
Mn3O4,-2.05,-3.162772374285715,-2.064680869122526
NaCl,-2.13,-2.1263367000000013,-2.0759041669312897
NaF,-2.97,-3.0657736,-2.9725811314991564
NaSb,-0.33,-0.4083855600000028,-0.37564816365803466
NaTe3,-0.35,-0.4766618725000029,-0.4719608833715654
Na2O,-1.43,-1.4829275283333334,-1.4216606098090498
Na2O2,-1.32,-1.3491958075000001,-1.2848181145386963
Na2S,-1.26,-1.304470163666667,-1.298359319474816
Na2S2,-1.03,-1.0317127929999987,-1.050069211537343
Na2Se,-1.18,-1.2766228933333323,-1.2574564269544528
Na2Se2,-0.97,-1.0106724474999993,-1.0094454327568005
Na3As,-0.53,-0.5452746175000005,-0.486275968522099
Na3Bi,-0.46,-0.46358731750000004,-0.4347048931610118
Na3Sb,-0.53,-0.5332746325000013,-0.4893832495038968
NbN,-1.22,-1.290620950000001,-1.1413732234994178
NbO2,-2.75,-2.819559626666667,-2.7890055597030616
Nb2O5,-2.81,-2.8495932649999998,-2.812874062420858
NiF2,-2.25,-2.810080650000001,-2.6065421039304133
NiO,-1.24,-1.9080831724999996,-1.6972599126108818
NiS,-0.43,-0.7671551304999991,-0.6390659821095301
NiSb,-0.34,-0.4276792200000017,-0.24849625673022047
NiSe,-0.31,-0.460803245000001,-0.3131306633289874
NiTe,-0.28,-0.3191209750000006,-0.15119295876981553
Ni2O3,-1.01,-1.3088634070000011,-1.1254627958342325
Ni2Te3,-0.3,-0.3031440699999962,-0.1712177512249468
Ni3P,-0.54,-0.6235319575000009,-0.40084540797677626
Ni3S2,-0.42,-0.5810674043999995,-0.4090087849864489
PdCl2,-0.69,-0.753229873333332,-0.628991116011413
PdO,-0.44,-0.8177588024999984,-0.6403653548681199
PdS,-0.39,-0.5547952304999981,-0.4601358943667684
PdS2,-0.28,-0.40651487066666664,-0.37399471548615537
Pd4S,-0.14,-0.3145118622000041,-0.10800200035187117
PtO,-0.37,-0.5966005875000064,-0.23379407805269636
PtO2,-0.57,-0.8257700500000027,-0.5593290382776767
PtS,-0.42,-0.6674240454999989,-0.3873516475513412
PtS2,-0.38,-0.5501069440000018,-0.393978080942541
Pt3O4,-0.4,-0.7371159242857134,-0.41560891386339854
RbCl,-2.26,-2.2183859550000005,-2.220841864240912
RbF,-2.89,-2.89480923,-2.8545052038087793
RbSb,-0.52,-0.5208630499999991,-0.5410140959676539
RbSb2,-0.35,-0.3530261766666645,-0.36298373296720854
Rb2O,-1.17,-1.1124121883333327,-1.1216631928885477
Rb2O2,-1.22,-1.1977141574999983,-1.1862249068483184
Rb2S,-1.25,-1.2071538203333319,-1.2715608992209795
Rb3Sb,-0.45,-0.45615727500000247,-0.49159855546832887
RhCl3,-0.78,-1.0365153424999995,-0.7974820047168851
RhO2,-0.85,-1.1715230300000006,-0.8494915985947861
Rh2O3,-0.84,-1.2619103929999995,-0.8902146785682163
Rh2S3,-0.54,-0.7553598206000004,-0.4829450399665916
ScAs,-1.39,-1.4901979599999997,-1.5813521640989165
ScCl3,-2.4,-2.417247455,-2.4461744064242907
ScF3,-4.22,-4.225147864999999,-4.189934913276092
Sc2O3,-3.94,-3.8382450909999988,-3.895285839300064
SiO2,-3.13,-3.0880142033333335,-3.018945262002539
SiS2,-0.88,-0.7499092573333334,-0.791152464667403
SiSe2,-0.61,-0.4958448733333327,-0.5109768362933451
Si3N4,-1.1,-1.3707569928571428,-1.1427036338623862
SnO,-1.48,-1.4209586324999997,-1.4504251252097191
