Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ir2S3,-0.49,-0.4483402345999991,-0.49168331984815267
KCl,-2.26,-2.215977855,-2.2168789887308655
KF,-2.94,-2.9213509350000013,-2.8870552730255223
KSb,-0.43,-0.5144259600000005,-0.5083345930974801
KSb2,-0.37,-0.3434677333333364,-0.32384531050588805
K2O,-1.25,-1.1816437816666674,-1.1821451208244014
K2O2,-1.28,-1.213911187499999,-1.1974122958004685
K2S,-1.31,-1.2399804069999998,-1.28266005697472
K2S2,-1.12,-1.0901022054999991,-1.1368707800259479
K2Se,-1.36,-1.2653305133333344,-1.2989398464598618
K3As,-0.48,-0.42440555750000186,-0.42689182379350044
K3Bi,-0.6,-0.45121557000000223,-0.48041186908401556
K3Sb,-0.47,-0.49135821750000197,-0.5055634344848734
K5Sb4,-0.44,-0.5145318166666691,-0.5129508017391231
LaCl3,-2.78,-2.797388214999998,-2.735779956840908
LaN,-1.57,-1.6239411799999992,-1.3424233072824663
LaS,-2.36,-2.422931875499998,-2.378282333387425
La2O3,-3.72,-3.808516433,-3.7086829094752916
La2S3,-2.51,-2.5153156306,-2.4914030665458684
La2Te3,-1.63,-1.7915472980000005,-1.7194609131084975
LiCl,-2.12,-2.0818576165000007,-2.098980407208016
LiF,-3.19,-3.2155420665,-3.1974680615026694
Li2O,-2.07,-2.0494937869999994,-2.071624002127265
Li2O2,-1.64,-1.6175291889999999,-1.6172519542776174
Li2S,-1.52,-1.5225120656666669,-1.5868205916109186
Li2Se,-1.45,-1.425030468666666,-1.480268677762724
Li3Bi,-0.6,-0.5936954847500004,-0.6472242692997412
Li3N,-0.43,-0.5022579497499997,-0.44879145761234884
Li3Sb,-0.83,-0.6935138872500008,-0.7320515897005944
MgCl2,-2.21,-2.1636430966666667,-2.2028149854184456
MgF2,-3.88,-3.8893185533333328,-3.8815613811446514
MgO,-3.11,-3.080353797499999,-3.138061371902536
MgS,-1.79,-1.6719959204999997,-1.7929709611280158
MgSe,-1.52,-1.4494488399999987,-1.5568184053557257
MgTe,-1.08,-0.9896770650000022,-1.070507254930206
Mg3As2,-0.91,-0.7497581740000001,-0.8220828788687214
Mg3Bi2,-0.32,-0.26177072599999746,-0.3768314833335523
Mg3N2,-0.96,-1.0132083139999992,-0.9570766286337247
Mg3P2,-0.96,-0.8128687360000001,-0.9630143581009392
Mg3Sb2,-0.49,-0.4232632859999995,-0.514338311974916
MnO,-2.0,-3.0333055474999995,-1.9837081881082668
MnS,-1.11,-2.1224537905,-1.1361238973337464
MnS2,-0.72,-1.2530697839999998,-0.6151949712823731
MnSb,-0.26,-1.1569326699999998,-0.11774283540527719
Mn2O3,-1.99,-2.8663581130000013,-2.0131803086323488
Mn3O4,-2.05,-2.9758434942857144,-2.0665458170540387
NaCl,-2.13,-2.1263367000000013,-2.088504429681093
NaF,-2.97,-3.0657736,-2.9927445339757464
NaSb,-0.33,-0.4083855600000028,-0.36356078904770683
NaTe3,-0.35,-0.4766618725000029,-0.4499798557811907
Na2O,-1.43,-1.4829275283333334,-1.4317843287580339
Na2O2,-1.32,-1.3491958075000001,-1.293963511750694
