Element,FERE Correction (eV)
Ag,-0.07473043363619727
Al,0.392111477064663
As,-0.20517286569076604
Au,-0.3640222764321882
Ba,0.20558398558689595
Be,0.20237271520173034
Bi,-0.11988608568020963
Ca,0.3095229734920595
Cd,0.1464301093440745
Cl,-0.02013692761228122
Co,-0.4797073288880168
Cr,-0.33987923260707864
Cu,0.15125197155147121
F,-0.0781271234180995
Fe,-0.920501994991277
Ga,0.42461250804079786
Ge,0.38911163739120835
Hf,0.13539474272372873
Hg,0.14308044558533742
In,0.056168497847534575
Ir,-0.024794579973611553
K,0.040698273024564025
La,-0.14859073360523548
Li,0.09063026834543317
Mg,0.19838766891842402
Mn,-0.5464896447194054
N,-0.43160070327225525
Na,-0.04064170183812292
Nb,0.21748036272058052
Ni,0.034811661398049316
O,-0.013302621087603439
P,0.05032008590908194
Pd,-0.1243998884601308
Pt,-0.3224202310147953
Rb,0.06311681764894313
Rh,-0.22387435324750238
S,0.033072074502111665
Sb,-0.19190459861197043
Sc,0.012973105758216523
Se,-0.027223984149721936
Si,0.06469617222812246
Sn,0.07032534103427168
Sr,0.1922967686677345
Ta,0.1762197401340138
Te,-0.10405847396692532
Ti,-0.07329584213933572
V,-0.1690222743659066
Y,-0.0077880870989257105
Zn,-0.056741590631989455
Zr,0.22909054081441485
