Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ir2S3,-0.49,-0.5344139672000011,-0.4914865902779013
KCl,-2.26,-2.2062294099999997,-2.206069335203427
KF,-2.94,-2.9179420425,-2.8793751960850242
KSb,-0.43,-0.5689838074999969,-0.503869503934073
KSb2,-0.37,-0.3919537783333311,-0.30028841246528515
K2O,-1.25,-1.1565602866666655,-1.1711042606969346
K2O2,-1.28,-1.1797898824999997,-1.1943364018751819
K2S,-1.31,-1.2333552073333334,-1.2664555338897496
K2S2,-1.12,-1.0874674984999997,-1.1298485466644035
K2Se,-1.36,-1.281735206666666,-1.2928413004170938
K3As,-0.48,-0.4496685662500006,-0.42125944132082616
K3Bi,-0.6,-0.4982964312500009,-0.4937357996047851
K3Sb,-0.47,-0.5438391387500001,-0.5185514286372594
K5Sb4,-0.44,-0.5725319605555576,-0.5162680110903403
LaCl3,-2.78,-2.8230847412499998,-2.734563350432053
LaN,-1.57,-1.6581828650000006,-1.3209966073827601
LaS,-2.36,-2.4645916009999986,-2.3449489752586707
La2O3,-3.72,-3.803500828,-3.688429935457543
La2S3,-2.51,-2.5665375552,-2.484868097204611
La2Te3,-1.63,-1.9243280980000008,-1.7576875106367367
LiCl,-2.12,-2.057609191,-2.0864747377669923
LiF,-3.19,-3.1974442235000007,-3.18790299864859
Li2O,-2.07,-2.011526541333334,-2.0647713441150217
Li2O2,-1.64,-1.571402076,-1.614974216938747
Li2S,-1.52,-1.5017445586666665,-1.5735457139745026
Li2Se,-1.45,-1.430568911333334,-1.4803758338351816
Li3Bi,-0.6,-0.611916797750002,-0.6508945984501331
Li3N,-0.43,-0.47501218525000066,-0.43823876740981405
Li3Sb,-0.83,-0.7358903652499986,-0.7541410874826049
MgCl2,-2.21,-2.1450755400000006,-2.1897799649312475
MgF2,-3.88,-3.878816366666667,-3.872311762773378
MgO,-3.11,-3.039588085,-3.128780833035421
MgS,-1.79,-1.6652898660000002,-1.7823171428246427
MgSe,-1.52,-1.4748481350000002,-1.5588840626156593
MgTe,-1.08,-1.0568540950000003,-1.103072097351415
Mg3As2,-0.91,-0.7937854579999992,-0.8291830025013439
Mg3Bi2,-0.32,-0.289235044000003,-0.3627901777556758
Mg3N2,-0.96,-0.9928365799999994,-0.9451897640911675
Mg3P2,-0.96,-0.8138350435999996,-0.9543185484596343
Mg3Sb2,-0.49,-0.5039678019999982,-0.5443596102076341
MnO,-2.0,-2.631177840000001,-1.9396372171966885
MnS,-1.11,-1.771840761,-1.1081346669859098
MnS2,-0.72,-1.0901213913333336,-0.6710583996533946
MnSb,-0.26,-0.854140189999999,-0.08293874425557846
Mn2O3,-1.99,-2.5703539019999995,-2.0200322348393343
Mn3O4,-2.05,-2.656149997142857,-2.065480056941433
NaCl,-2.13,-2.1157673074999996,-2.0773356251520783
NaF,-2.97,-3.0617665700000005,-2.984928116033676
NaSb,-0.33,-0.46607932999999946,-0.362693418882726
NaTe3,-0.35,-0.48426380249999923,-0.41521621759086713
Na2O,-1.43,-1.4595044300000002,-1.423019593961803
Na2O2,-1.32,-1.31471478,-1.2909896918238335
Na2S,-1.26,-1.3015034373333332,-1.2835749538212842
Na2S2,-1.03,-1.0312803484999993,-1.0353897891130543
Na2Se,-1.18,-1.297199853333333,-1.257277137015296
Na2Se2,-0.97,-1.0219408800000007,-0.9930589714040732
Na3As,-0.53,-0.5764780074999996,-0.4906614712438033
Na3Bi,-0.46,-0.5145925150000004,-0.452624472027761
Na3Sb,-0.53,-0.5919494350000001,-0.5092543135602341
NbN,-1.22,-1.29138777,-1.144876021771971
NbO2,-2.75,-2.731824186666666,-2.76547380837575
Nb2O5,-2.81,-2.786494482857143,-2.8174161808092015
NiF2,-2.25,-2.460830323333333,-2.369572459601907
NiO,-1.24,-1.396626835000001,-1.3586896932782135
NiS,-0.43,-0.5611884210000007,-0.5510858080674357
NiSb,-0.34,-0.34911191499999816,-0.23151395033710642
NiSe,-0.31,-0.42881135500000056,-0.38571739285845297
NiTe,-0.28,-0.2727074800000011,-0.19179559259420742
Ni2O3,-1.01,-0.9955060759999995,-0.968067193704556
Ni2Te3,-0.3,-0.24413183799999844,-0.16512326088374607
Ni3P,-0.54,-0.5623006022499997,-0.520844710899306
Ni3S2,-0.42,-0.5396102228000004,-0.5134424446832497
PdCl2,-0.69,-0.687149420000002,-0.612958465136586
PdO,-0.44,-0.6804254949999997,-0.591275173343428
PdS,-0.39,-0.493946575999999,-0.43263078313264813
PdS2,-0.28,-0.362619128000001,-0.34514967041788697
Pd4S,-0.14,-0.2626323804000009,-0.1223931840192222
PtO,-0.37,-0.4710120499999988,-0.26317685785442535
PtO2,-0.57,-0.6616502799999987,-0.5279448703729249
PtS,-0.42,-0.5597194209999969,-0.3797187576436478
PtS2,-0.38,-0.44417619133333136,-0.3475834867585519
Pt3O4,-0.4,-0.600714032857143,-0.42464874750521225
RbCl,-2.26,-2.2072378725000004,-2.2210468043232368
RbF,-2.89,-2.88939678,-2.8647989402048335
RbSb,-0.52,-0.5756617949999985,-0.524516498053881
RbSb2,-0.35,-0.4163757933333301,-0.33402309854515977
Rb2O,-1.17,-1.0866106966666678,-1.1197800128566797
Rb2O2,-1.22,-1.1626297000000019,-1.1911452259949922
Rb2S,-1.25,-1.2029353440000012,-1.2546610127161604
