Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
KCl,-2.26,-2.2062294099999997,-2.1878714991650217
KF,-2.94,-2.9179420425,-2.850523120031731
KSb,-0.43,-0.5689838074999969,-0.5256136973007806
KSb2,-0.37,-0.3919537783333311,-0.3464163411723599
K2O,-1.25,-1.1565602866666655,-1.1486092633816345
K2O2,-1.28,-1.1797898824999997,-1.186297412229429
K2S,-1.31,-1.2333552073333334,-1.2585852955584411
K2S2,-1.12,-1.0874674984999997,-1.143746695494638
K2Se,-1.36,-1.281735206666666,-1.2807498595959892
K3As,-0.48,-0.4496685662500006,-0.406005130747074
K3Bi,-0.6,-0.4982964312500009,-0.48276833359429006
K3Sb,-0.47,-0.5438391387500001,-0.5037200189934126
K5Sb4,-0.44,-0.5725319605555576,-0.5298842926769238
LaCl3,-2.78,-2.878211751250001,-2.744997978229007
LaN,-1.57,-1.7075309599999997,-1.3181236210000726
LaS,-2.36,-2.4930801860000003,-2.301137440143627
La2O3,-3.72,-3.8512247520000016,-3.6678298592573015
La2S3,-2.51,-2.6288464972000014,-2.5051776051755494
La2Te3,-1.63,-1.9830856100000005,-1.7631411320468147
LiCl,-2.12,-2.057609191,-2.0774693157125714
LiF,-3.19,-3.1974442235000007,-3.1682433365792813
Li2O,-2.07,-2.011526541333334,-2.0545328987783678
Li2O2,-1.64,-1.571402076,-1.6161276412769787
Li2S,-1.52,-1.5017445586666665,-1.5779320276218396
Li2Se,-1.45,-1.430568911333334,-1.4805409449927218
Li3Bi,-0.6,-0.611916797750002,-0.6537157534156144
Li3N,-0.43,-0.47501218525000066,-0.4433124758398881
Li3Sb,-0.83,-0.7358903652499986,-0.7530982988147379
MgCl2,-2.21,-2.1450755400000006,-2.177699220781245
MgF2,-3.88,-3.878816366666667,-3.8460253652701915
MgO,-3.11,-3.039588085,-3.1133128929142755
MgS,-1.79,-1.6652898660000002,-1.7887863411794838
MgSe,-1.52,-1.4748481350000002,-1.5590214572358079
MgTe,-1.08,-1.0568540950000003,-1.1001209152388682
Mg3As2,-0.91,-0.7937854579999992,-0.8267055726055077
Mg3Bi2,-0.32,-0.289235044000003,-0.36717169916105374
Mg3N2,-0.96,-0.9928365799999994,-0.9531753710398896
Mg3P2,-0.96,-0.8138350435999996,-0.9554780706411584
Mg3Sb2,-0.49,-0.5039678019999982,-0.5425588217996478
MnO,-2.0,-3.395179260000001,-2.0582171158126226
MnS,-1.11,-2.5013197060000003,-1.214129229077832
MnS2,-0.72,-1.409994394666666,-0.601676251152964
MnSb,-0.26,-1.4937681149999982,-0.10692833088397435
Mn2O3,-1.99,-3.048391117999999,-1.9887980404046615
Mn3O4,-2.05,-3.2054338342857145,-2.066592451949794
NaCl,-2.13,-2.1157673074999996,-2.064236926034285
NaF,-2.97,-3.0617665700000005,-2.961175176900995
NaSb,-0.33,-0.46607932999999946,-0.38953674917004477
NaTe3,-0.35,-0.48426380249999923,-0.4501859449226444
Na2O,-1.43,-1.4595044300000002,-1.4073234458739858
Na2O2,-1.32,-1.31471478,-1.2880498390986928
Na2S,-1.26,-1.3015034373333332,-1.282503564717458
Na2S2,-1.03,-1.0312803484999993,-1.054387074863901
