Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Cu2O,-36.42804545,-0.58,,
Cu2S,-38.93743343,-0.28,,
Cu2Sb,-65.90047175,-0.04,,
Cu2Se,-49.02700815,-0.21,,
Cu2Te,-65.68886292,0.07,,
Cu3N,-51.42050302,0.19,,
Cu3P,-53.52028447,-0.17,,
Cu3Sb,-79.95044511,-0.02,,
FeF2,-31.69590936,-2.46,,
FeO,-26.14300964,-1.41,,
FeS,-27.48313009,-0.52,,
FeSe,-37.53128959,-0.39,,
Fe2O3,-61.48253306,-1.71,,
Fe3O4,-87.50137674,-1.66,,
GaAs,-37.29336067,-0.37,,
GaCl3,-45.0480817,-1.36,,
GaF3,-38.17386609,-3.01,,
GaN,-26.89645871,-0.81,,
GaP,-27.65732403,-0.53,,
GaS,-27.41145705,-1.09,,
GaSb,-53.92166759,-0.22,,
GaSe,-37.65914462,-0.83,,
Ga2O3,-61.65481151,-2.26,,
Ga2S3,-65.36531281,-1.07,,
Ga2Se3,-96.0742719,-0.85,,
GeO2,-36.92968747,-2,,
GeS,-29.18055856,-0.39,,
GeS2,-39.4026266,-0.66,,
GeSe,-39.49302336,-0.48,,
Ge3N4,-95.22222353,-0.09,,
HfN,-73.80537707,-1.91,,
HfO2,-84.95291639,-3.95,,
HgCl2,-86.02826008,-0.77,,
HgO,-74.97834485,-0.47,,
HgS,-78.04052249,-0.3,,
HgSe,-88.6014932,-0.24,,
HgTe,-105.7064478,-0.22,,
InAs,-54.11818561,-0.31,,
InN,-42.71978246,-0.1,,
InP,-44.29014597,-0.39,,
InS,-44.26141383,-0.7,,
InSb,-70.90627187,-0.16,,
InSe,-54.64959001,-0.62,,
InTe,-71.2198036,-0.5,,
In2O3,-94.62986424,-1.92,,
In2S3,-99.07062786,-0.74,,
In2Se3,-129.977543,-0.67,,
In2Te3,-180.1643117,-0.41,,
IrO2,-84.26919915,-0.95,,
IrS2,-89.79301833,-0.48,,
Ir2S3,-169.4473326,-0.49,,
KCl,-20.61426504,-2.26,,
KF,-17.60049421,-2.94,,
KSb,-46.59842603,-0.43,,
KSb2,-83.86302721,-0.37,,
K2O,-26.31848945,-1.25,,
K2O2,-33.78971254,-1.28,,
K2S,-29.96884953,-1.31,,
K2S2,-40.24517702,-1.12,,
K2Se,-40.48453029,-1.36,,
K3As,-46.81118524,-0.48,,
K3Bi,-105.2245102,-0.6,,
K3Sb,-64.1480554,-0.47,,
K5Sb4,-195.215607,-0.44,,
LaCl3,-77.42734128,-2.78,,
LaN,-54.89447432,-1.57,,
LaS,-56.81740958,-2.36,,
La2O3,-122.3980904,-3.72,,
La2S3,-126.4902757,-2.51,,
La2Te3,-205.676976,-1.63,,
LiCl,-14.38102766,-2.12,,
LiF,-12.22387957,-3.19,,
Li2O,-16.99204566,-2.07,,
Li2O2,-23.47419074,-1.64,,
Li2S,-18.8864507,-1.52,,
Li2Se,-29.03363635,-1.45,,
Li3Bi,-87.89943915,-0.6,,
Li3N,-18.2758192,-0.43,,
Li3Sb,-47.06168737,-0.83,,
MgCl2,-27.20807426,-2.21,,
MgF2,-23.53606665,-3.88,,
MgO,-17.28679201,-3.11,,
MgS,-17.94542646,-1.79,,
MgSe,-27.93996274,-1.52,,
MgTe,-44.19787877,-1.08,,
Mg3As2,-59.03349582,-0.91,,
Mg3Bi2,-173.2057284,-0.32,,
Mg3N2,-38.44717672,-0.96,,
Mg3P2,-39.78019747,-0.96,,
Mg3Sb2,-91.53914042,-0.49,,
MnO,-27.74512289,-2,,
MnS,-29.37704763,-1.11,,
MnS2,-38.35543118,-0.72,,
MnSb,-55.01282099,-0.26,,
Mn2O3,-63.62389507,-1.99,,
Mn3O4,-91.77759069,-2.05,,
NaCl,-16.3154223,-2.13,,
NaF,-13.76977911,-2.97,,
NaSb,-42.2667848,-0.33,,
NaTe3,-117.852461,-0.35,,
Na2O,-18.98321983,-1.43,,
Na2O2,-26.09173016,-1.32,,
Na2S,-21.92319794,-1.26,,
Na2S2,-31.77249851,-1.03,,
Na2Se,-32.27928657,-1.18,,
Na2Se2,-52.56759801,-0.97,,
Na3As,-34.93598019,-0.53,,
Na3Bi,-92.9153159,-0.46,,
Na3Sb,-51.95703977,-0.53,,
NbN,-42.30266429,-1.22,,
NbO2,-51.25891516,-2.75,,
Nb2O5,-111.7081351,-2.81,,
NiF2,-29.68981472,-2.25,,
NiO,-24.33371254,-1.24,,
NiS,-25.52720666,-0.43,,
NiSb,-52.47544485,-0.34,,
NiSe,-35.35413333,-0.31,,
NiTe,-52.24822837,-0.28,,
Ni2O3,-53.73991911,-1.01,,
Ni2Te3,-141.9886431,-0.3,,
Ni3P,-55.97480216,-0.54,,
Ni3S2,-65.24816633,-0.42,,
PdCl2,-49.35171506,-0.69,,
PdO,-39.13648249,-0.44,,
PdS,-42.08590555,-0.39,,
PdS2,-51.83171959,-0.28,,
Pd4S,-136.57024,-0.14,,
PtO,-75.79895569,-0.37,,
PtO2,-83.24357435,-0.57,,
PtS,-79.41595281,-0.42,,
PtS2,-89.36728544,-0.38,,
Pt3O4,-235.1375847,-0.4,,
RbCl,-33.04149393,-2.26,,
RbF,-29.96982349,-2.89,,
RbSb,-59.0337129,-0.52,,
RbSb2,-96.31411523,-0.35,,
Rb2O,-50.95562005,-1.17,,
Rb2O2,-58.5697498,-1.22,,
Rb2S,-54.71519515,-1.25,,
Rb3Sb,-101.2744897,-0.45,,
RhCl3,-59.2734957,-0.78,,
RhO2,-47.33566743,-0.85,,
Rh2O3,-87.79123896,-0.84,,
Rh2S3,-95.68453671,-0.54,,
ScAs,-36.09532031,-1.39,,
ScCl3,-46.21727919,-2.4,,
ScF3,-40.17532986,-4.22,,
Sc2O3,-63.51462253,-3.94,,
SiO2,-31.59254671,-3.13,,
SiS2,-31.52893228,-0.88,,
SiSe2,-51.64600001,-0.61,,
Si3N4,-76.58657506,-1.1,,
SnO,-44.87662679,-1.48,,
SnO2,-54.00096414,-1.97,,
SnS,-46.42852054,-0.57,,
SnS2,-56.47811988,-0.53,,
SnSe,-56.78107682,-0.47,,
SnSe2,-77.11769398,-0.43,,
SrO,-34.52073046,-3.07,,
SrO2,-41.10916441,-2.19,,
SrS,-36.81009313,-2.45,,
Sr2Bi,-125.6532094,-1.08,,
Sr2Sb,-84.71477287,-1.11,,
TaN,-75.76570856,-1.3,,
TaS2,-86.55715283,-1.22,,
TiAs,-35.8693491,-0.78,,
TiCl4,-54.05637419,-1.7,,
TiN,-26.62288781,-1.58,,
TiO2,-35.86732131,-3.26,,
TiS,-26.46876847,-1.41,,
TiS2,-37.55980619,-1.41,,
Ti2O3,-61.76138011,-3.15,,
VF4,-44.31138371,-2.91,,
VN,-26.40449973,-1.13,,
VO,-27.07818755,-2.24,,
VO2,-35.21912601,-2.47,,
V2O3,-63.53904206,-2.53,,
V2O5,-76.80657212,-2.29,,
YAs,-50.63186785,-1.68,,
YCl3,-61.12394263,-2.59,,
YF3,-55.47853195,-4.45,,
Y2O3,-91.99054412,-3.95,,
ZnCl2,-33.08220523,-1.43,,
ZnF2,-28.22681217,-2.64,,
ZnO,-22.98543076,-1.81,,
ZnP2,-34.74736438,-0.21,,
ZnS,-24.70463706,-1.07,,
ZnSb,-50.29101119,-0.08,,
ZnSe,-34.78910938,-0.85,,
ZnTe,-51.27108532,-0.61,,
Zn3As2,-80.38119478,-0.28,,
Zn3N2,-58.81005956,-0.05,,
Zn3P2,-61.19561937,-0.33,,
ZrN,-42.30967649,-1.89,,
ZrO2,-53.1830858,-3.8,,
ZrS2,-53.92970911,-1.96,,
