Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.1672694133333342,-0.11301491721333434
Ag2O2,-0.06,-0.1912310374999997,-0.1472145101381006
Ag2S,-0.11,-0.11193236733333123,-0.07313610307657115
Ag2Se,-0.15,-0.12645791666666875,-0.06756296619262751
AlAs,-0.61,-0.6282580800000002,-0.7217273856869486
AlCl3,-1.82,-1.7647652487500007,-1.8476904223069557
AlF3,-3.9,-3.903045795,-3.942478321702591
AlN,-1.61,-1.7121695399999997,-1.6924249268962033
AlP,-0.85,-0.7384366294999998,-0.9596524109868723
Al2O3,-3.47,-3.37442919,-3.5232922081733036
Al2S3,-1.5,-1.2373395971999996,-1.4140274327271314
Al2Se3,-1.18,-1.008525963999999,-1.1490361643360316
Al2Te3,-0.68,-0.5604062459999994,-0.654815752445711
AuCl,-0.18,-0.3033475674999977,-0.11126796547776507
AuCl3,-0.3,-0.3913064462499989,-0.2851981814327402
AuF3,-0.94,-1.1387687474999986,-0.9891678358283773
BaO,-2.86,-2.7308910650000016,-2.827031747249645
BaO2,-2.19,-2.078325460000002,-2.1379850411372296
BaS,-2.38,-2.371662661000002,-2.4909906910445017
BeO,-3.14,-3.0109017885,-3.1054368355570636
BeS,-1.21,-1.2067089895,-1.3244313843519215
Be3N2,-1.22,-1.2605675561999987,-1.2093509040121346
CaCl2,-2.75,-2.7106642900000004,-2.8004139960891656
CaF2,-4.21,-4.26354314,-4.314632715551954
CaO,-3.29,-3.2485882949999993,-3.396698471202228
CaS,-2.45,-2.435296731,-2.606594254997086
Ca3N2,-0.91,-0.9804604339999983,-0.9935339367863335
Ca3P2,-1.22,-0.8645092055999996,-1.0703510240588685
CdCl2,-1.35,-1.3400217066666684,-1.3754071247065056
CdF2,-2.42,-2.4978626266666666,-2.4945879141692906
CdO,-1.34,-1.2663398799999985,-1.3329036241282353
CdS,-0.78,-0.7808579109999982,-0.8706090029230911
CdSb,-0.07,-0.1076644050000013,-0.08492716036604975
CdSe,-0.75,-0.7548625799999975,-0.8144656425971739
CdTe,-0.48,-0.5678292399999982,-0.5890150576885738
Cd3As2,-0.08,-0.17700276200000076,-0.1827916813301357
Cd3N2,0.33,0.4008675260000018,0.4856497417024599
Cd3P2,-0.24,-0.1286168876000005,-0.23660298757007467
CoF2,-2.39,-2.4332569333333325,-2.2212697414252616
CoF3,-2.1,-2.21738782,-2.038865645214421
CoO,-1.23,-1.4022448150000013,-1.15573984001219
CoS,-0.43,-0.5887263709999999,-0.3654087438070466
CoSb3,-0.17,-0.27644739249999617,-0.012592111319019494
CoSe,-0.32,-0.45815092000000135,-0.20468526348113159
Co3O4,-1.32,-1.5973629214285714,-1.3841725684265052
Co3S4,-0.53,-0.742455675428569,-0.5557651484777709
CrF4,-2.58,-2.691984702,-2.561507156744105
CrN,-0.65,-0.985606774999999,-0.5998668070603319
CrO2,-2.07,-2.244383063333334,-2.1222215717392388
CrS,-0.81,-0.9523991509999998,-0.7989955719475166
Cr2O3,-2.36,-2.5097407399999994,-2.3658074743046074
CuF2,-1.88,-1.8397921066666665,-1.8381246815717571
CuO,-0.82,-0.7769026900000018,-0.8458773652319351
CuS,-0.28,-0.28137004600000104,-0.37353206902679226
CuSe,-0.21,-0.19286426000000212,-0.25487825370087513
Cu2O,-0.58,-0.5079755700000016,-0.6043760106717807
Cu2S,-0.28,-0.20443611733333356,-0.31629478986835124
Cu2Sb,-0.04,0.018074213333332995,-0.018792234830324144
Cu2Se,-0.21,-0.1017482066666678,-0.1935081929844055
Cu2Te,0.07,0.07240559999999856,0.0062571102879947675
Cu3N,0.19,0.2076277149999992,0.20208891215445846
Cu3P,-0.17,-0.03997290474999993,-0.16599190489087512
Cu3Sb,-0.02,0.08963533250000033,0.02417250348938893
FeF2,-2.46,-2.7434054199999998,-2.3844866727241745
FeO,-1.41,-1.7684280149999996,-1.3015257069605592
FeS,-0.52,-0.9736776859999985,-0.5299627257554178
FeSe,-0.39,-0.8400587099999992,-0.36619572042949855
Fe2O3,-1.71,-2.1261854999999996,-1.7500031293509266
Fe3O4,-1.66,-2.065489989999999,-1.6633876372393936
GaAs,-0.37,-0.4554297149999993,-0.5651495361750154
GaCl3,-1.36,-1.2929089737499995,-1.3839594050509882
GaF3,-3.01,-2.8994886525000005,-2.947046436946625
GaN,-0.81,-0.700220019999998,-0.6967259223842692
GaP,-0.53,-0.5124640194999994,-0.7499303164749396
GaS,-1.09,-0.7657985509999996,-0.9946408422714548
GaSb,-0.22,-0.2347527350000007,-0.35110668971441683
GaSe,-0.83,-0.6924441150000007,-0.8911383769455377
Ga2O3,-2.26,-2.1093217179999995,-2.271185148563758
Ga2S3,-1.07,-0.7988912331999998,-0.988579481117587
Ga2Se3,-0.85,-0.702584084,-0.8560946967264869
GeO2,-2.0,-1.8554266166666669,-1.9762620817386676
GeS,-0.39,-0.24289128600000076,-0.4539831419466598
GeS2,-0.66,-0.3891222479999996,-0.5408741767984774
GeSe,-0.48,-0.20001599499999934,-0.38095982162074193
Ge3N4,-0.09,-0.19361471428571317,-0.11374787129779763
HfN,-1.91,-2.0376549500000003,-1.889551969725737
HfO2,-3.95,-3.927368853333334,-3.9636320201828403
HgCl2,-0.77,-0.7477785333333339,-0.7820473967869267
HgO,-0.47,-0.3803597700000019,-0.44524868224887015
HgS,-0.3,-0.17119181099999992,-0.2592680710437243
HgSe,-0.24,-0.23742205000000283,-0.29535028071781255
HgTe,-0.22,-0.19255088500000284,-0.21206187080920813
InAs,-0.31,-0.3720087549999995,-0.2975065710783831
InN,-0.1,-0.10481233500000009,0.08290376771236119
InP,-0.39,-0.3192503895000005,-0.3724946813783081
InS,-0.7,-0.6744722260000007,-0.7190925121748233
InSb,-0.16,-0.2332694499999981,-0.16540139961778166
InSe,-0.62,-0.6742751200000008,-0.6887473768489052
InTe,-0.5,-0.3982113500000004,-0.37426636194030394
In2O3,-1.92,-1.90541846,-1.9199042864864508
In2S3,-0.74,-0.7387345732,-0.7810452170402812
In2Se3,-0.67,-0.6839042679999977,-0.6900372766491785
In2Te3,-0.41,-0.4380598780000014,-0.3980921927588582
IrO2,-0.95,-0.9367580266666664,-0.9196247526170586
IrS2,-0.48,-0.49628960466666666,-0.5100727943435382
Ir2S3,-0.49,-0.48016532319999783,-0.49009073591182073
KCl,-2.26,-2.2062294099999997,-2.216510082706141
KF,-2.94,-2.9179420425,-2.8992276173032314
KSb,-0.43,-0.5689838074999969,-0.4933806447062956
KSb2,-0.37,-0.3919537783333311,-0.27758347026687363
K2O,-1.25,-1.1565602866666655,-1.1792582616538414
K2O2,-1.28,-1.1797898824999997,-1.1934877084684796
K2S,-1.31,-1.2333552073333334,-1.2715114141837465
K2S2,-1.12,-1.0874674984999997,-1.1243526722633375
K2Se,-1.36,-1.281735206666666,-1.2997927272998016
K3As,-0.48,-0.4496685662500006,-0.4288990545957301
K3Bi,-0.6,-0.4982964312500009,-0.49884861459836927
K3Sb,-0.47,-0.5438391387500001,-0.5263866938654296
K5Sb4,-0.44,-0.5725319605555576,-0.5098511795194377
LaCl3,-2.78,-2.7799546612500006,-2.727704282139481
LaN,-1.57,-1.6141369900000022,-1.3240412715612564
