Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
LaS,-2.36,-2.4357634610000005,-2.3780041314484386
La2O3,-3.72,-3.7619598999999995,-3.694542033905344
La2S3,-2.51,-2.5159937412000004,-2.476400692459174
La2Te3,-1.63,-1.8774378580000017,-1.755566480177754
LiCl,-2.12,-2.057609191,-2.0928558613665764
LiF,-3.19,-3.1974442235000007,-3.203695795963667
Li2O,-2.07,-2.011526541333334,-2.067512513201088
Li2O2,-1.64,-1.571402076,-1.610065899628915
Li2S,-1.52,-1.5017445586666665,-1.5731887623976597
Li2Se,-1.45,-1.430568911333334,-1.4819144288470483
Li3Bi,-0.6,-0.611916797750002,-0.6499179775890234
Li3N,-0.43,-0.47501218525000066,-0.43508471069101073
Li3Sb,-0.83,-0.7358903652499986,-0.7558869168560811
MgCl2,-2.21,-2.1450755400000006,-2.19778014456462
MgF2,-3.88,-3.878816366666667,-3.892860840694075
MgO,-3.11,-3.039588085,-3.1321306089154106
MgS,-1.79,-1.6652898660000002,-1.7810197377102677
MgSe,-1.52,-1.4748481350000002,-1.5604299773843504
MgTe,-1.08,-1.0568540950000003,-1.1040186924757496
Mg3As2,-0.91,-0.7937854579999992,-0.8307489130747484
Mg3Bi2,-0.32,-0.289235044000003,-0.3603132110789716
Mg3N2,-0.96,-0.9928365799999994,-0.9392289000421513
Mg3P2,-0.96,-0.8138350435999996,-0.9529956793146873
Mg3Sb2,-0.49,-0.5039678019999982,-0.546238563906266
MnO,-2.0,-2.1315394550000004,-1.8516433220964945
MnS,-1.11,-1.3016707109999999,-1.0449619258913518
MnS2,-0.72,-0.8952435080000001,-0.7351283427616053
MnSb,-0.26,-0.4712033799999986,-0.10200625833430976
Mn2O3,-1.99,-2.263428947999999,-2.036851517459675
Mn3O4,-2.05,-2.30271024,-2.060898894498767
NaCl,-2.13,-2.1157673074999996,-2.0853779927747977
NaF,-2.97,-3.0617665700000005,-3.0023821573718887
NaSb,-0.33,-0.46607932999999946,-0.34980617977495143
NaTe3,-0.35,-0.48426380249999923,-0.39605952156527735
Na2O,-1.43,-1.4595044300000002,-1.427975755078717
Na2O2,-1.32,-1.31471478,-1.2877426185371368
Na2S,-1.26,-1.3015034373333332,-1.2854329942752887
Na2S2,-1.03,-1.0312803484999993,-1.0274955348319939
Na2Se,-1.18,-1.297199853333333,-1.2610307240580099
Na2Se2,-0.97,-1.0219408800000007,-0.9880080370060789
Na3As,-0.53,-0.5764780074999996,-0.494703514698716
Na3Bi,-0.46,-0.5145925150000004,-0.4541397172013575
Na3Sb,-0.53,-0.5919494350000001,-0.5134920089684147
NbN,-1.22,-1.2870559650000004,-1.1799957947241637
NbO2,-2.75,-2.694410943333336,-2.7580359835151262
Nb2O5,-2.81,-2.7613575157142867,-2.813992890000449
NiF2,-2.25,-2.2998666199999995,-2.259385758187283
NiO,-1.24,-1.1768216599999999,-1.1875761801552223
NiS,-0.43,-0.5084921510000004,-0.5424340189500807
NiSb,-0.34,-0.3269146499999991,-0.2483681813930403
NiSe,-0.31,-0.400838555,-0.40463239362416203
NiTe,-0.28,-0.2617846650000004,-0.2271612587155616
Ni2O3,-1.01,-0.9040770999999992,-0.9100201919066577
Ni2Te3,-0.3,-0.22696959799999944,-0.17845917817906526
Ni3P,-0.54,-0.5287951722499997,-0.5674839397758049
Ni3S2,-0.42,-0.5083440187999997,-0.542459845439673
PdCl2,-0.69,-0.6563909000000004,-0.6014996521050998
PdO,-0.44,-0.6328267249999975,-0.563975470226131
PdS,-0.39,-0.46789152599999895,-0.4222276190209886
PdS2,-0.28,-0.3448397313333326,-0.3254211515146939
Pd4S,-0.14,-0.2237470664,-0.1308415705323142
PtO,-0.37,-0.3991707600000005,-0.2313093339488006
PtO2,-0.57,-0.6330938133333367,-0.5167519889366687
PtS,-0.42,-0.5183882060000009,-0.3737141277436571
PtS2,-0.38,-0.4307100913333339,-0.3452847306631431
Pt3O4,-0.4,-0.5759645928571453,-0.4301829960864601
RbCl,-2.26,-2.2072378725000004,-2.2287278175183314
RbF,-2.89,-2.88939678,-2.8818916271154222
RbSb,-0.52,-0.5756617949999985,-0.5112679045184869
RbSb2,-0.35,-0.4163757933333301,-0.3094783334749991
Rb2O,-1.17,-1.0866106966666678,-1.1242543680700952
Rb2O2,-1.22,-1.1626297000000019,-1.1875367982806715
Rb2S,-1.25,-1.2029353440000012,-1.256037247266666
Rb3Sb,-0.45,-0.5102840549999996,-0.5096455185837172
RhCl3,-0.78,-0.8518325212499995,-0.7807612372289139
RhO2,-0.85,-0.9847598800000009,-0.9012666815257641
Rh2O3,-0.84,-0.9256975260000019,-0.8281662120484384
Rh2S3,-0.54,-0.6058557852000007,-0.536149288602266
ScAs,-1.39,-1.6013077950000003,-1.5052079150337256
ScCl3,-2.4,-2.409122301250001,-2.3972628819803443
ScF3,-4.22,-4.2806797125000005,-4.22532764637598
Sc2O3,-3.94,-3.9187145360000004,-3.9159222056507246
SiO2,-3.13,-3.0564191599999995,-3.0691161366843054
SiS2,-0.88,-0.7488998913333328,-0.7925133317441156
SiSe2,-0.61,-0.5176536300000004,-0.5210696979762256
Si3N4,-1.1,-1.3528021614285717,-1.1339001190850493
SnO,-1.48,-1.4340207400000011,-1.4625320999733376
SnO2,-1.97,-1.9571388933333342,-1.9717122596196905
SnS,-0.57,-0.481479341,-0.5331780487681925
SnS2,-0.53,-0.4938751513333344,-0.5393649813461655
SnSe,-0.47,-0.46085059500000014,-0.482401273442278
SnSe2,-0.43,-0.44155602000000016,-0.446848477578276
SrO,-3.07,-3.016673214999999,-3.1061702887900644
SrO2,-2.19,-2.1334837233333324,-2.1887142321641755
SrS,-2.45,-2.452395200999998,-2.5650796225849213
Sr2Bi,-1.08,-0.9335117333333329,-1.0217475505517513
Sr2Sb,-1.11,-1.0542490499999981,-1.1184786962411668
TaN,-1.3,-1.3934210200000017,-1.2657305384308835
TaS2,-1.22,-1.1620583446666661,-1.2428463077127485
TiAs,-0.78,-1.0391649999999988,-0.8999306460849485
TiCl4,-1.7,-1.7594853020000003,-1.7287165914823077
TiN,-1.58,-1.9180490250000002,-1.6656007522942051
TiO2,-3.26,-3.209762646666666,-3.1764622852284865
TiS,-1.41,-1.6027829009999994,-1.5826710171813883
TiS2,-1.41,-1.4308596280000003,-1.4284757302882956
Ti2O3,-3.15,-3.116819726,-3.0795198164917026
VF4,-2.91,-3.029561402,-2.9332552483923395
VN,-1.13,-1.3491436950000004,-1.0488322061809185
VO,-2.24,-2.20609707,-2.114934622273246
VO2,-2.47,-2.5805840766666677,-2.5153749044862956
V2O3,-2.53,-2.6094890979999987,-2.533898615601076
V2O5,-2.29,-2.3564424671428577,-2.2986485165471686
YAs,-1.68,-1.8409120649999977,-1.7344315886051547
YCl3,-2.59,-2.614952338750001,-2.5979026212660585
YF3,-4.45,-4.5223135075,-4.461771143161693
Y2O3,-3.95,-3.9423409840000003,-3.9312441765078687
ZnCl2,-1.43,-1.4702635600000005,-1.4379250780478163
ZnF2,-2.64,-2.8113958133333337,-2.740397200843937
ZnO,-1.81,-1.936360445000001,-1.9013383391402048
ZnP2,-0.21,-0.3429445693333335,-0.35757742972872464
ZnS,-1.07,-1.0811987060000003,-1.0693639479350612
ZnSb,-0.08,-0.0894228799999972,0.03490021462198101
ZnSe,-0.85,-0.9378371399999992,-0.8958543526091436
ZnTe,-0.61,-0.6199033000000007,-0.5395032677005425
Zn3As2,-0.28,-0.29034175000000034,-0.17422764934449902
Zn3N2,-0.05,-0.31809165399999983,-0.11140641831190265
Zn3P2,-0.33,-0.3436149515999986,-0.32969803158443794
ZrN,-1.89,-2.0089731099999995,-1.9077180287710789
ZrO2,-3.8,-3.800097626666665,-3.8675927262130685
ZrS2,-1.96,-1.7821836913333324,-1.880595254606213
