Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Ag2O,-69.44391464,-0.11,Ag,-31.39652948
Ag2O2,-75.9695899,-0.06,Al,-7.73443733
Ag2S,-72.68163789,-0.11,As,-20.19399038
Ag2Se,-83.12198625,-0.15,Au,-69.21177497
AlAs,-29.13136633,-0.61,Ba,-39.53105312
AlCl3,-38.51337646,-1.82,Be,-4.361090675
AlF3,-33.75016144,-3.9,Bi,-78.50007529
AlN,-20.4476091,-1.61,Ca,-9.62408816
AlP,-19.63149755,-0.85,Cd,-30.40931166
Al2O3,-51.07095055,-3.47,Cl,-7.87578512
Al2S3,-50.62639555,-1.5,Co,-16.77604617
Al2Se3,-80.62253931,-1.18,Cr,-18.32767391
Al2Te3,-129.7344279,-0.68,Cu,-15.13653834
AuCl,-77.64421878,-0.18,F,-3.45126813
AuCl3,-94.58189599,-0.3,Fe,-17.20348363
AuF3,-84.25454863,-0.94,Ga,-16.33990841
BaO,-51.21829436,-2.86,Ge,-19.03427702
BaO2,-58.21606331,-2.19,Hf,-62.78847013
BaS,-53.91270721,-2.38,Hg,-68.11453472
BeO,-16.67557399,-3.14,In,-33.30177935
BeS,-16.48000778,-1.21,Ir,-71.28989928
Be3N2,-38.10891631,-1.22,K,-8.30652421
CaCl2,-33.56536086,-2.75,La,-43.12030669
CaF2,-29.35843871,-4.21,Li,-2.341527307
CaO,-22.37583634,-3.29,Mg,-4.96557473
CaS,-24.154766,-2.45,Mn,-18.08127466
Ca3N2,-52.36435414,-0.91,N,-9.24220548
Ca3P2,-53.99048544,-1.22,Na,-4.18696378
CdCl2,-50.13162406,-1.35,Nb,-33.09446515
CdF2,-44.70631531,-2.42,Ni,-15.98104733
CdO,-39.07617649,-1.34,O,-6.160509685
CdS,-41.54572171,-0.78,P,-10.4095648
CdSb,-67.80566233,-0.07,Pd,-32.79107784
CdSe,-51.87494939,-0.75,Pt,-70.26605295
CdTe,-68.6273961,-0.48,Rb,-20.7289369
Cd3As2,-132.2205795,-0.08,Rh,-33.82977249
Cd3N2,-107.5835637,0.33,S,-9.635859889
Cd3P2,-112.5144666,-0.24,Sb,-37.2630499
CoF2,-31.05186258,-2.39,Sc,-14.12980218
CoF3,-35.95658114,-2.1,Se,-20.07549033
CoO,-25.85765549,-1.23,Si,-10.00748473
CoS,-27.53340921,-0.43,Sn,-35.87419984
CoSb3,-129.7414768,-0.17,Sr,-22.26143523
CoSe,-37.72740545,-0.32,Ta,-66.65462944
Co3O4,-87.18812318,-1.32,Te,-37.25294991
Co3S4,-94.37743414,-0.53,Ti,-15.97795782
CrF4,-46.02078781,-2.58,V,-17.39402757
CrN,-29.62984035,-0.65,Y,-27.8171477
CrO2,-37.4876027,-2.07,Zn,-12.95709504
CrS,-29.67531649,-0.81,Zr,-30.69774089
Cr2O3,-68.05462236,-2.36,,
CuF2,-27.68209499,-1.88,,
CuO,-22.97145861,-0.82,,
CuS,-25.30744699,-0.28,,
CuSe,-35.54371022,-0.21,,
Cu2O,-37.98669209,-0.58,,
Cu2S,-40.46709918,-0.28,,
Cu2Sb,-67.5738382,-0.04,,
Cu2Se,-50.55059195,-0.21,,
Cu2Te,-67.30327942,0.07,,
Cu3N,-53.78653319,0.19,,
Cu3P,-55.96134132,-0.17,,
Cu3Sb,-82.41009856,-0.02,,
FeF2,-32.17730231,-2.46,,
FeO,-26.82076317,-1.41,,
FeS,-28.68295827,-0.52,,
FeSe,-38.81809247,-0.39,,
Fe2O3,-63.39247107,-1.71,,
Fe3O4,-90.46586043,-1.66,,
GaAs,-37.29336067,-0.37,,
GaCl3,-45.0480817,-1.36,,
GaF3,-38.17386609,-3.01,,
GaN,-26.89645871,-0.81,,
GaP,-27.65732403,-0.53,,
GaS,-27.41145705,-1.09,,
GaSb,-53.92166759,-0.22,,
GaSe,-37.65914462,-0.83,,
Ga2O3,-61.65481151,-2.26,,
Ga2S3,-65.36531281,-1.07,,
Ga2Se3,-96.0742719,-0.85,,
GeO2,-36.92968747,-2,,
GeS,-29.18055856,-0.39,,
GeS2,-39.4026266,-0.66,,
GeSe,-39.49302336,-0.48,,
Ge3N4,-95.22222353,-0.09,,
HfN,-76.06853534,-1.91,,
HfO2,-86.92959984,-3.95,,
HgCl2,-86.02826008,-0.77,,
HgO,-74.97834485,-0.47,,
HgS,-78.04052249,-0.3,,
HgSe,-88.6014932,-0.24,,
HgTe,-105.7064478,-0.22,,
InAs,-54.11818561,-0.31,,
InN,-42.71978246,-0.1,,
InP,-44.29014597,-0.39,,
InS,-44.26141383,-0.7,,
InSb,-70.90627187,-0.16,,
InSe,-54.64959001,-0.62,,
InTe,-71.2198036,-0.5,,
In2O3,-94.62986424,-1.92,,
In2S3,-99.07062786,-0.74,,
In2Se3,-129.977543,-0.67,,
In2Te3,-180.1643117,-0.41,,
IrO2,-86.40898708,-0.95,,
IrS2,-92.01403652,-0.48,,
Ir2S3,-173.7290794,-0.49,,
KCl,-20.61426504,-2.26,,
KF,-17.60049421,-2.94,,
KSb,-46.59842603,-0.43,,
KSb2,-83.86302721,-0.37,,
K2O,-26.31848945,-1.25,,
K2O2,-33.78971254,-1.28,,
K2S,-29.96884953,-1.31,,
K2S2,-40.24517702,-1.12,,
K2Se,-40.48453029,-1.36,,
K3As,-46.81118524,-0.48,,
K3Bi,-105.2245102,-0.6,,
K3Sb,-64.1480554,-0.47,,
K5Sb4,-195.215607,-0.44,,
LaCl3,-77.93721491,-2.78,,
LaN,-55.61039453,-1.57,,
LaS,-57.60203033,-2.36,,
La2O3,-123.7647246,-3.72,,
La2S3,-127.7246425,-2.51,,
La2Te3,-206.9573324,-1.63,,
LiCl,-14.38102766,-2.12,,
LiF,-12.22387957,-3.19,,
Li2O,-16.99204566,-2.07,,
Li2O2,-23.47419074,-1.64,,
Li2S,-18.8864507,-1.52,,
Li2Se,-29.03363635,-1.45,,
Li3Bi,-87.89943915,-0.6,,
Li3N,-18.2758192,-0.43,,
Li3Sb,-47.06168737,-0.83,,
MgCl2,-27.20807426,-2.21,,
MgF2,-23.53606665,-3.88,,
MgO,-17.28679201,-3.11,,
MgS,-17.94542646,-1.79,,
MgSe,-27.93996274,-1.52,,
MgTe,-44.19787877,-1.08,,
Mg3As2,-59.03349582,-0.91,,
Mg3Bi2,-173.2057284,-0.32,,
Mg3N2,-38.44717672,-0.96,,
Mg3P2,-39.78019747,-0.96,,
Mg3Sb2,-91.53914042,-0.49,,
MnO,-28.30689739,-2,,
MnS,-30.06838448,-1.11,,
MnS2,-39.94721399,-0.72,,
MnSb,-56.07848884,-0.26,,
Mn2O3,-65.88361678,-1.99,,
Mn3O4,-94.74159211,-2.05,,
NaCl,-16.3154223,-2.13,,
NaF,-13.76977911,-2.97,,
NaSb,-42.2667848,-0.33,,
NaTe3,-117.852461,-0.35,,
Na2O,-18.98321983,-1.43,,
Na2O2,-26.09173016,-1.32,,
Na2S,-21.92319794,-1.26,,
Na2S2,-31.77249851,-1.03,,
Na2Se,-32.27928657,-1.18,,
Na2Se2,-52.56759801,-0.97,,
Na3As,-34.93598019,-0.53,,
Na3Bi,-92.9153159,-0.46,,
Na3Sb,-51.95703977,-0.53,,
NbN,-44.88417479,-1.22,,
NbO2,-53.55394226,-2.75,,
Nb2O5,-116.4496641,-2.81,,
NiF2,-30.10295074,-2.25,,
NiO,-24.84315439,-1.24,,
NiS,-26.68799758,-0.43,,
NiSb,-53.98535181,-0.34,,
NiSe,-36.83390276,-0.31,,
NiTe,-53.79571728,-0.28,,
Ni2O3,-55.58831719,-1.01,,
Ni2Te3,-145.0049476,-0.3,,
Ni3P,-60.482048,-0.54,,
Ni3S2,-69.71798291,-0.42,,
PdCl2,-50.5726537,-0.69,,
PdO,-40.32456607,-0.44,,
PdS,-43.40610479,-0.39,,
PdS2,-53.15026587,-0.28,,
Pd4S,-141.8849625,-0.14,,
PtO,-77.26113058,-0.37,,
PtO2,-84.84671284,-0.57,,
PtS,-81.0238255,-0.42,,
PtS2,-91.08510749,-0.38,,
Pt3O4,-240.1280213,-0.4,,
RbCl,-33.04149393,-2.26,,
RbF,-29.96982349,-2.89,,
RbSb,-59.0337129,-0.52,,
RbSb2,-96.31411523,-0.35,,
Rb2O,-50.95562005,-1.17,,
Rb2O2,-58.5697498,-1.22,,
Rb2S,-54.71519515,-1.25,,
Rb3Sb,-101.2744897,-0.45,,
RhCl3,-61.0047443,-0.78,,
RhO2,-49.31790224,-0.85,,
Rh2O3,-91.1468195,-0.84,,
Rh2S3,-99.65494051,-0.54,,
ScAs,-37.42982576,-1.39,,
ScCl3,-47.48664575,-2.4,,
ScF3,-41.65610694,-4.22,,
Sc2O3,-66.59538514,-3.94,,
SiO2,-31.59254671,-3.13,,
SiS2,-31.52893228,-0.88,,
SiSe2,-51.64600001,-0.61,,
Si3N4,-76.58657506,-1.1,,
SnO,-44.87662679,-1.48,,
SnO2,-54.00096414,-1.97,,
SnS,-46.42852054,-0.57,,
SnS2,-56.47811988,-0.53,,
SnSe,-56.78107682,-0.47,,
SnSe2,-77.11769398,-0.43,,
SrO,-34.52073046,-3.07,,
SrO2,-41.10916441,-2.19,,
SrS,-36.81009313,-2.45,,
Sr2Bi,-125.6532094,-1.08,,
Sr2Sb,-84.71477287,-1.11,,
TaN,-78.60743565,-1.3,,
TaS2,-89.29166249,-1.22,,
TiAs,-38.15611583,-0.78,,
TiCl4,-56.32012601,-1.7,,
TiN,-29.07915714,-1.58,,
TiO2,-38.06428358,-3.26,,
TiS,-28.82132811,-1.41,,
TiS2,-39.54095241,-1.41,,
Ti2O3,-66.18419016,-3.15,,
VF4,-46.37385373,-2.91,,
VN,-29.32824826,-1.13,,
VO,-28.15367664,-2.24,,
VO2,-37.58711388,-2.47,,
V2O3,-66.66866823,-2.53,,
V2O5,-82.34595026,-2.29,,
YAs,-51.56272806,-1.68,,
YCl3,-61.95403856,-2.59,,
YF3,-56.31034409,-4.45,,
Y2O3,-94.03609435,-3.95,,
ZnCl2,-33.08220523,-1.43,,
ZnF2,-28.22681217,-2.64,,
ZnO,-22.98543076,-1.81,,
ZnP2,-34.74736438,-0.21,,
ZnS,-24.70463706,-1.07,,
ZnSb,-50.29101119,-0.08,,
ZnSe,-34.78910938,-0.85,,
ZnTe,-51.27108532,-0.61,,
Zn3As2,-80.38119478,-0.28,,
Zn3N2,-58.81005956,-0.05,,
Zn3P2,-61.19561937,-0.33,,
ZrN,-43.9860881,-1.89,,
ZrO2,-54.55203703,-3.8,,
ZrS2,-55.30101891,-1.96,,
