Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Ag2O,-68.75599534,-0.11,Ag,-31.03473749
Ag2O2,-75.20527708,-0.06,Al,-7.73443733
Ag2S,-72.01875086,-0.11,As,-20.19399038
Ag2Se,-82.46832549,-0.15,Au,-68.69300763
AlAs,-29.13136633,-0.61,Ba,-39.53105312
AlCl3,-38.51337646,-1.82,Be,-4.361090675
AlF3,-33.75016144,-3.9,Bi,-78.50007529
AlN,-20.4476091,-1.61,Ca,-9.62408816
AlP,-19.63149755,-0.85,Cd,-30.40931166
Al2O3,-51.07095055,-3.47,Cl,-7.87578512
Al2S3,-50.62639555,-1.5,Co,-15.81788414
Al2Se3,-80.62253931,-1.18,Cr,-17.14960934
Al2Te3,-129.7344279,-0.68,Cu,-14.78694766
AuCl,-77.15317013,-0.18,F,-3.45126813
AuCl3,-94.06277738,-0.3,Fe,-16.08483299
AuF3,-83.77244269,-0.94,Ga,-16.33990841
BaO,-51.21829436,-2.86,Ge,-19.03427702
BaO2,-58.21606331,-2.19,Hf,-61.97958534
BaS,-53.91270721,-2.38,Hg,-68.11453472
BeO,-16.67557399,-3.14,In,-33.30177935
BeS,-16.48000778,-1.21,Ir,-70.26990777
Be3N2,-38.10891631,-1.22,K,-8.30652421
CaCl2,-33.56536086,-2.75,La,-42.73311926
CaF2,-29.35843871,-4.21,Li,-2.341527307
CaO,-22.37583634,-3.29,Mg,-4.96557473
CaS,-24.154766,-2.45,Mn,-16.84255575
Ca3N2,-52.36435414,-0.91,N,-9.24220548
Ca3P2,-53.99048544,-1.22,Na,-4.18696378
CdCl2,-50.13162406,-1.35,Nb,-32.02660943
CdF2,-44.70631531,-2.42,Ni,-15.31695772
CdO,-39.07617649,-1.34,O,-6.160509685
CdS,-41.54572171,-0.78,P,-10.4095648
CdSb,-67.80566233,-0.07,Pd,-32.17710337
CdSe,-51.87494939,-0.75,Pt,-69.51566082
CdTe,-68.6273961,-0.48,Rb,-20.7289369
Cd3As2,-132.2205795,-0.08,Rh,-32.88406161
Cd3N2,-107.5835637,0.33,S,-9.635859889
Cd3P2,-112.5144666,-0.24,Sb,-37.2630499
CoF2,-30.8561933,-2.39,Sc,-13.61245769
CoF3,-35.64098624,-2.1,Se,-20.07549033
CoO,-25.5224754,-1.23,Si,-10.00748473
CoS,-27.06422384,-0.43,Sn,-35.87419984
CoSb3,-128.8572423,-0.17,Sr,-22.26143523
CoSe,-37.25944108,-0.32,Ta,-65.5348092
Co3O4,-84.51187238,-1.32,Te,-37.25294991
Co3S4,-92.45225217,-0.53,Ti,-15.08018016
CrF4,-44.87913353,-2.58,V,-16.25121517
CrN,-28.98772958,-0.65,Y,-27.42897237
CrO2,-36.65983968,-2.07,Zn,-12.95709504
CrS,-29.1982845,-0.81,Zr,-30.04002394
Cr2O3,-66.92860282,-2.36,,
CuF2,-27.50560401,-1.88,,
CuO,-22.70383491,-0.82,,
CuS,-24.9743499,-0.28,,
CuSe,-35.20955484,-0.21,,
Cu2O,-37.34386476,-0.58,,
Cu2S,-39.83145165,-0.28,,
Cu2Sb,-66.88296871,-0.04,,
Cu2Se,-49.9152275,-0.21,,
Cu2Te,-66.63255735,0.07,,
Cu3N,-52.81142263,0.19,,
Cu3P,-54.94995266,-0.17,,
Cu3Sb,-81.39655014,-0.02,,
FeF2,-31.96713284,-2.46,,
FeO,-26.50334873,-1.41,,
FeS,-28.08790812,-0.52,,
FeSe,-38.25852941,-0.39,,
Fe2O3,-62.56208407,-1.71,,
Fe3O4,-89.20072972,-1.66,,
GaAs,-37.29336067,-0.37,,
GaCl3,-45.0480817,-1.36,,
GaF3,-38.17386609,-3.01,,
GaN,-26.89645871,-0.81,,
GaP,-27.65732403,-0.53,,
GaS,-27.41145705,-1.09,,
GaSb,-53.92166759,-0.22,,
GaSe,-37.65914462,-0.83,,
Ga2O3,-61.65481151,-2.26,,
Ga2S3,-65.36531281,-1.07,,
Ga2Se3,-96.0742719,-0.85,,
GeO2,-36.92968747,-2,,
GeS,-29.18055856,-0.39,,
GeS2,-39.4026266,-0.66,,
GeSe,-39.49302336,-0.48,,
Ge3N4,-95.22222353,-0.09,,
HfN,-75.14324586,-1.91,,
HfO2,-86.11467501,-3.95,,
HgCl2,-86.02826008,-0.77,,
HgO,-74.97834485,-0.47,,
HgS,-78.04052249,-0.3,,
HgSe,-88.6014932,-0.24,,
HgTe,-105.7064478,-0.22,,
InAs,-54.11818561,-0.31,,
InN,-42.71978246,-0.1,,
InP,-44.29014597,-0.39,,
InS,-44.26141383,-0.7,,
InSb,-70.90627187,-0.16,,
InSe,-54.64959001,-0.62,,
InTe,-71.2198036,-0.5,,
In2O3,-94.62986424,-1.92,,
In2S3,-99.07062786,-0.74,,
In2Se3,-129.977543,-0.67,,
In2Te3,-180.1643117,-0.41,,
IrO2,-85.51668629,-0.95,,
IrS2,-91.10176446,-0.48,,
Ir2S3,-171.9661875,-0.49,,
KCl,-20.61426504,-2.26,,
KF,-17.60049421,-2.94,,
KSb,-46.59842603,-0.43,,
KSb2,-83.86302721,-0.37,,
K2O,-26.31848945,-1.25,,
K2O2,-33.78971254,-1.28,,
K2S,-29.96884953,-1.31,,
K2S2,-40.24517702,-1.12,,
K2Se,-40.48453029,-1.36,,
K3As,-46.81118524,-0.48,,
K3Bi,-105.2245102,-0.6,,
K3Sb,-64.1480554,-0.47,,
K5Sb4,-195.215607,-0.44,,
LaCl3,-77.72215958,-2.78,,
LaN,-55.31044984,-1.57,,
LaS,-57.27313528,-2.36,,
La2O3,-123.1932882,-3.72,,
La2S3,-127.2039996,-2.51,,
La2Te3,-206.4135736,-1.63,,
LiCl,-14.38102766,-2.12,,
LiF,-12.22387957,-3.19,,
Li2O,-16.99204566,-2.07,,
Li2O2,-23.47419074,-1.64,,
Li2S,-18.8864507,-1.52,,
Li2Se,-29.03363635,-1.45,,
Li3Bi,-87.89943915,-0.6,,
Li3N,-18.2758192,-0.43,,
Li3Sb,-47.06168737,-0.83,,
MgCl2,-27.20807426,-2.21,,
MgF2,-23.53606665,-3.88,,
MgO,-17.28679201,-3.11,,
MgS,-17.94542646,-1.79,,
MgSe,-27.93996274,-1.52,,
MgTe,-44.19787877,-1.08,,
Mg3As2,-59.03349582,-0.91,,
Mg3Bi2,-173.2057284,-0.32,,
Mg3N2,-38.44717672,-0.96,,
Mg3P2,-39.78019747,-0.96,,
Mg3Sb2,-91.53914042,-0.49,,
MnO,-28.06579935,-2,,
MnS,-29.76786921,-1.11,,
MnS2,-39.27383932,-0.72,,
MnSb,-55.59763476,-0.26,,
Mn2O3,-64.93711912,-1.99,,
Mn3O4,-93.48849599,-2.05,,
NaCl,-16.3154223,-2.13,,
NaF,-13.76977911,-2.97,,
NaSb,-42.2667848,-0.33,,
NaTe3,-117.852461,-0.35,,
Na2O,-18.98321983,-1.43,,
Na2O2,-26.09173016,-1.32,,
Na2S,-21.92319794,-1.26,,
Na2S2,-31.77249851,-1.03,,
Na2Se,-32.27928657,-1.18,,
Na2Se2,-52.56759801,-0.97,,
Na3As,-34.93598019,-0.53,,
Na3Bi,-92.9153159,-0.46,,
Na3Sb,-51.95703977,-0.53,,
NbN,-43.82904146,-1.22,,
NbO2,-52.60247914,-2.75,,
Nb2O5,-114.4997807,-2.81,,
NiF2,-29.92409926,-2.25,,
NiO,-24.62412876,-1.24,,
NiS,-26.18669113,-0.43,,
NiSb,-53.36747375,-0.34,,
NiSe,-36.22857377,-0.31,,
NiTe,-53.16094889,-0.28,,
Ni2O3,-54.79813583,-1.01,,
Ni2Te3,-143.7687493,-0.3,,
Ni3P,-58.63186451,-0.54,,
Ni3S2,-67.88788059,-0.42,,
PdCl2,-50.06015135,-0.69,,
PdO,-39.81961068,-0.44,,
PdS,-42.85270561,-0.39,,
PdS2,-52.59790944,-0.28,,
Pd4S,-139.6376388,-0.14,,
PtO,-76.65078547,-0.37,,
PtO2,-84.18830552,-0.57,,
PtS,-80.35799465,-0.42,,
PtS2,-90.38001718,-0.38,,
Pt3O4,-238.0721808,-0.4,,
RbCl,-33.04149393,-2.26,,
RbF,-29.96982349,-2.89,,
RbSb,-59.0337129,-0.52,,
RbSb2,-96.31411523,-0.35,,
Rb2O,-50.95562005,-1.17,,
Rb2O2,-58.5697498,-1.22,,
Rb2S,-54.71519515,-1.25,,
Rb3Sb,-101.2744897,-0.45,,
RhCl3,-60.2983575,-0.78,,
RhO2,-48.46237048,-0.85,,
Rh2O3,-89.76324994,-0.84,,
Rh2S3,-98.03357126,-0.54,,
ScAs,-36.8716232,-1.39,,
ScCl3,-46.95784611,-2.4,,
ScF3,-41.03946732,-4.22,,
Sc2O3,-65.31055163,-3.94,,
SiO2,-31.59254671,-3.13,,
SiS2,-31.52893228,-0.88,,
SiSe2,-51.64600001,-0.61,,
