Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
NaTe3,-0.35,-0.48426380249999923,-0.43801415036995195
Na2O,-1.43,-1.4595044300000002,-1.4133597311202888
Na2O2,-1.32,-1.31471478,-1.290087701343765
Na2S,-1.26,-1.3015034373333332,-1.2832756387617887
Na2S2,-1.03,-1.0312803484999993,-1.0485286203060138
Na2Se,-1.18,-1.297199853333333,-1.252411320350775
Na2Se2,-0.97,-1.0219408800000007,-0.9993480501894947
Na3As,-0.53,-0.5764780074999996,-0.4857547366905166
Na3Bi,-0.46,-0.5145925150000004,-0.4506209568717132
Na3Sb,-0.53,-0.5919494350000001,-0.5046706905904692
NbN,-1.22,-1.295551549999999,-1.1144140542711547
NbO2,-2.75,-2.774266593333335,-2.775266965828621
Nb2O5,-2.81,-2.8131082114285726,-2.819669356712276
NiF2,-2.25,-2.6228915600000007,-2.482294311778644
NiO,-1.24,-1.6194311949999989,-1.5242639086259615
NiS,-0.43,-0.6365238859999991,-0.5832319500882104
NiSb,-0.34,-0.3729518449999958,-0.2170340877897985
NiSe,-0.31,-0.45748309499999884,-0.36435005747169136
NiTe,-0.28,-0.2863709400000012,-0.1552709844199427
Ni2O3,-1.01,-1.0970115379999996,-1.0288628653036085
Ni2Te3,-0.3,-0.2619865720000007,-0.15071869625638498
Ni3P,-0.54,-0.5995722497500005,-0.4702280637917653
Ni3S2,-0.42,-0.5724364668000007,-0.4837508471181152
PdCl2,-0.69,-0.7128174833333342,-0.6230957938283955
PdO,-0.44,-0.7252334949999995,-0.615567921584196
PdS,-0.39,-0.5131032910000002,-0.44531306804644544
PdS2,-0.28,-0.37567105466666817,-0.3717030670105288
Pd4S,-0.14,-0.2958623184000004,-0.11319207191109797
PtO,-0.37,-0.5461822550000015,-0.2968580077367555
PtO2,-0.57,-0.688554106666667,-0.535646535829232
PtS,-0.42,-0.6014272359999993,-0.39397833919900194
PtS2,-0.38,-0.45580100799999457,-0.3587272377788935
Pt3O4,-0.4,-0.6253935757142861,-0.4173907612049561
RbCl,-2.26,-2.2072378725000004,-2.2131172432981803
RbF,-2.89,-2.88939678,-2.849870338239983
RbSb,-0.52,-0.5756617949999985,-0.5432306208863658
RbSb2,-0.35,-0.4163757933333301,-0.36756329070486987
Rb2O,-1.17,-1.0866106966666678,-1.1110611649586417
Rb2O2,-1.22,-1.1626297000000019,-1.190948996722529
Rb2S,-1.25,-1.2029353440000012,-1.255302712600141
Rb3Sb,-0.45,-0.5102840549999996,-0.5024248736586152
RhCl3,-0.78,-0.9676943062500012,-0.7903570193430678
RhO2,-0.85,-1.0707711666666644,-0.8658927086347225
Rh2O3,-0.84,-1.1199936219999984,-0.8661543159588291
Rh2S3,-0.54,-0.7085239492,-0.504935063713529
ScAs,-1.39,-1.5525220500000003,-1.5835680875516722
ScCl3,-2.4,-2.39754253875,-2.433188321464442
ScF3,-4.22,-4.226419012500001,-4.193956076377147
Sc2O3,-3.94,-3.8114950179999996,-3.8984286233530296
SiO2,-3.13,-3.0564191599999995,-3.0439290706668203
SiS2,-0.88,-0.7488998913333328,-0.7922436026164851
SiSe2,-0.61,-0.5176536300000004,-0.5078758724611253
Si3N4,-1.1,-1.3528021614285717,-1.1394216363222236
SnO,-1.48,-1.4340207400000011,-1.4353835326757967
SnO2,-1.97,-1.9571388933333342,-1.971356015788596
SnS,-0.57,-0.481479341,-0.5247174841380442
SnS2,-0.53,-0.4938751513333344,-0.5639260744049253
SnSe,-0.47,-0.46085059500000014,-0.46424763652152734
SnSe2,-0.43,-0.44155602000000016,-0.45848547424956837
SrO,-3.07,-3.016673214999999,-3.0994195886162466
SrO2,-2.19,-2.1334837233333324,-2.201956566415563
SrS,-2.45,-2.452395200999998,-2.577016925078496
Sr2Bi,-1.08,-0.9335117333333329,-1.0211075719678178
Sr2Sb,-1.11,-1.0542490499999981,-1.1107686402594912
TaN,-1.3,-1.3580610199999974,-1.2360938088018614
TaS2,-1.22,-1.1663230979999994,-1.2626041274654252
TiAs,-0.78,-1.0075307949999992,-0.8919429738001039
TiCl4,-1.7,-1.7493971520000002,-1.7182694207040257
TiN,-1.58,-1.8152270250000004,-1.6046035639714926
TiO2,-3.26,-3.2105092166666673,-3.1918522789621804
TiS,-1.41,-1.541267230999999,-1.53519428389842
TiS2,-1.41,-1.4838710346666666,-1.5210478975785122
Ti2O3,-3.15,-3.1060205539999997,-3.075647072351778
VF4,-2.91,-3.1503749440000006,-2.9143156878134326
VN,-1.13,-1.3139350600000004,-0.7726060369777983
VO,-2.24,-2.8970195699999994,-2.5183657104424757
VO2,-2.47,-2.6989727800000005,-2.4598454676330497
V2O3,-2.53,-3.0117850839999987,-2.71684715275682
V2O5,-2.29,-2.367724737142857,-2.168462152544641
YAs,-1.68,-1.8288130850000002,-1.7663111975516728
YCl3,-2.59,-2.6303090312499986,-2.619180851464442
YF3,-4.45,-4.53798228,-4.458745381377146
Y2O3,-3.95,-3.905472001999999,-3.91756726735303
ZnCl2,-1.43,-1.4702635600000005,-1.4203018743424825
ZnF2,-2.64,-2.8113958133333337,-2.7008930442648857
ZnO,-1.81,-1.936360445000001,-1.886334877355326
ZnP2,-0.21,-0.3429445693333335,-0.41188847720140015
ZnS,-1.07,-1.0811987060000003,-1.0730484888175749
ZnSb,-0.08,-0.0894228799999972,0.021353158480835077
ZnSe,-0.85,-0.9378371399999992,-0.8898458212010532
ZnTe,-0.61,-0.6199033000000007,-0.5339450631493072
Zn3As2,-0.28,-0.29034175000000034,-0.16821429351469702
Zn3N2,-0.05,-0.31809165399999983,-0.11993568565180653
Zn3P2,-0.33,-0.3436149515999986,-0.32899052939942236
ZrN,-1.89,-1.9748034799999985,-1.8267722810439828
ZrO2,-3.8,-3.8595510400000017,-3.882622277010507
ZrS2,-1.96,-1.8406244979999993,-1.919529535626836
