Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ag2O,-0.11,-0.18710213166666753,-0.10959903925753167
Ag2O2,-0.06,-0.1930286575000011,-0.11439681274309521
Ag2S,-0.11,-0.12459044699999804,-0.09609056630322262
Ag2Se,-0.15,-0.1313139966666673,-0.09178131078179301
AlAs,-0.61,-0.6014693099999988,-0.7321636408494179
AlCl3,-1.82,-1.7878959425000005,-1.8405305969860146
AlF3,-3.9,-3.91547993,-3.9127638883341938
AlN,-1.61,-1.735483145,-1.7197746373196452
AlP,-0.85,-0.7437477099999992,-0.9845228747229609
Al2O3,-3.47,-3.424109367,-3.519324337134937
Al2S3,-1.5,-1.2499882445999986,-1.4334089958171858
Al2Se3,-1.18,-0.9854387319999972,-1.1490004338786064
Al2Te3,-0.68,-0.5013407019999988,-0.6416562084627856
AuCl,-0.18,-0.30517771499999924,-0.07842682912201582
AuCl3,-0.3,-0.4339040599999997,-0.29544095704540396
AuF3,-0.94,-1.1891594275000017,-0.9953456283935829
BaO,-2.86,-2.763365777499999,-2.8214477592771914
BaO2,-2.19,-2.121330273333333,-2.1327122272513868
BaS,-2.38,-2.3728971004999977,-2.5044838998457344
BeO,-3.14,-3.0769868149999997,-3.0864861871841462
BeS,-1.21,-1.2415286080000003,-1.3245327977526884
Be3N2,-1.22,-1.3082466649999993,-1.2118641353417545
CaCl2,-2.75,-2.7299008199999997,-2.785532748781224
CaF2,-4.21,-4.277271430000002,-4.283702739979606
CaO,-3.29,-3.2956192474999995,-3.3882334098029308
CaS,-2.45,-2.4474089754999984,-2.613527955371472
Ca3N2,-0.91,-1.00153574,-1.0048909584842973
Ca3P2,-1.22,-0.8598182720000012,-1.0683604284069503
CdCl2,-1.35,-1.32358072,-1.3481998005377065
CdF2,-2.42,-2.464822463333334,-2.44024092506942
CdO,-1.34,-1.2531775725000003,-1.2992724624376528
CdS,-0.78,-0.7502750804999998,-0.8698747880061966
CdSb,-0.07,-0.06665038500000264,-0.13210508857780923
CdSe,-0.75,-0.6950736999999982,-0.7981241997240431
CdTe,-0.48,-0.48256726500000013,-0.5662459352108584
Cd3As2,-0.08,-0.12093275200000449,-0.18558711446978576
Cd3N2,0.33,0.42575644800000134,0.47822435635403904
Cd3P2,-0.24,-0.09348040400000172,-0.24619943356861712
CoF2,-2.39,-2.9575505466666656,-2.4290437786633974
CoF3,-2.1,-2.523830877499999,-2.096456739439139
CoO,-1.23,-2.0839622175,-1.3741692628286195
CoS,-0.43,-1.0669369705000005,-0.43064883339716076
CoSb3,-0.17,-0.32469734750000256,0.04216846027557253
CoSe,-0.32,-0.9430817199999986,-0.29024437511501233
Co3O4,-1.32,-1.9739890514285707,-1.3538782185959275
Co3S4,-0.53,-1.0567790420000003,-0.520673714959975
CrF4,-2.58,-2.8274829640000005,-2.43675582732304
CrN,-0.65,-1.5775234050000009,-0.652417263075673
CrO2,-2.07,-2.5207011533333343,-1.9801121886497626
CrS,-0.81,-1.5629823655000017,-0.8666127869432962
Cr2O3,-2.36,-3.079085556999999,-2.446782419739759
CuF2,-1.88,-1.9991153699999995,-1.9400646892273652
CuO,-0.82,-0.9234244924999988,-0.9178156686745691
CuS,-0.28,-0.2858915755000009,-0.35378756924311183
CuSe,-0.21,-0.18438362499999883,-0.23573041096096148
Cu2O,-0.58,-0.5583376583333314,-0.5781985938328328
Cu2S,-0.28,-0.23324921366666493,-0.30211336087852675
Cu2Sb,-0.04,-0.022291973333333697,-0.05505945125959973
Cu2Se,-0.21,-0.11672912333333348,-0.1745604653570941
Cu2Te,0.07,0.04905128333333645,0.004134494318359809
Cu3N,0.19,0.17620003250000238,0.2212200902375745
Cu3P,-0.17,-0.059843097499998166,-0.14306487596408246
Cu3Sb,-0.02,0.04492431000000252,0.0026485880179620835
FeF2,-2.46,-3.2972779833333328,-2.485704762423893
FeO,-1.41,-2.5533834024999997,-1.418990768469362
FeS,-0.52,-1.5164954155000014,-0.45560759903790427
FeSe,-0.39,-1.3825983999999991,-0.3051613757557554
Fe2O3,-1.71,-2.673781337,-1.7498636094154463
Fe3O4,-1.66,-2.6347548499999993,-1.6507014348594222
GaAs,-0.37,-0.37973094000000174,-0.5876888879225532
GaCl3,-1.36,-1.2702044824999987,-1.36147094552258
GaF3,-3.01,-2.8700383224999992,-2.905954089370759
GaN,-0.81,-0.6571724099999994,-0.7187275193927789
GaP,-0.53,-0.45392541000000186,-0.771964191796096
GaS,-1.09,-0.7178443754999986,-1.0081360482604005
GaSb,-0.22,-0.1593546400000001,-0.39550130883201007
GaSe,-0.83,-0.6218729399999994,-0.8956154049782512
Ga2O3,-2.26,-2.0986931270000015,-2.2557189907934445
Ga2S3,-1.07,-0.7555832646000014,-1.000814909475693
Ga2Se3,-0.85,-0.633596817999998,-0.8589694135371133
GeO2,-2.0,-1.8581303599999994,-1.9378243796613372
GeS,-0.39,-0.25521082550000074,-0.4892657234606599
GeS2,-0.66,-0.3655432673333318,-0.5432437104193918
GeSe,-0.48,-0.19162800500000188,-0.40913369517851095
Ge3N4,-0.09,-0.16436722142856905,-0.11285699487997647
HfN,-1.91,-1.8966836700000016,-1.8581703700505159
HfO2,-3.95,-3.934080156666667,-3.98455308663299
HgCl2,-0.77,-0.7207183733333314,-0.751022817712998
HgO,-0.47,-0.3516502225000053,-0.40627315820059096
HgS,-0.3,-0.14506394050000182,-0.2731916937691352
HgSe,-0.24,-0.2057340749999952,-0.3173126204869803
