Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Ag2O,-49.17608946,-0.11,Ag,-21.37036908
Ag2O2,-55.37274843,-0.06,Al,-6.73109404
Ag2S,-51.10733609,-0.11,As,-14.7035291
Ag2Se,-57.42674946,-0.15,Au,-50.6025112
AlAs,-22.6911393,-0.61,Ba,-26.43243314
AlCl3,-31.94322735,-1.82,Be,-4.339623803
AlF3,-31.54347847,-3.9,Bi,-58.49761314
AlN,-19.22838222,-1.61,Ca,-7.03010808
AlP,-17.20697883,-0.85,Cd,-20.09410207
Al2O3,-48.13496321,-3.47,Cl,-6.051024105
Al2S3,-43.74128855,-1.5,Co,-12.74732574
Al2Se3,-61.42473055,-1.18,Cr,-14.75145319
Al2Te3,-92.4972848,-0.68,Cu,-10.824357
AuCl,-57.26023044,-0.18,F,-3.06673375
AuCl3,-70.3208093,-0.3,Fe,-13.30918199
AuF3,-64.35778744,-0.94,Ga,-11.43824635
BaO,-37.82775833,-2.86,Ge,-13.85929885
BaO2,-44.53449564,-2.19,Hf,-45.12115942
BaS,-39.20655929,-2.38,Hg,-49.36530571
BeO,-16.29497044,-3.14,In,-22.58277901
BeS,-14.78384261,-1.21,Ir,-52.3773649
Be3N2,-37.46760739,-1.22,K,-5.978287735
CaCl2,-27.26414916,-2.75,La,-29.72399311
CaF2,-25.954205,-4.21,Li,-2.340161603
CaO,-19.46082773,-3.29,Mg,-4.1482446
CaS,-19.93150237,-2.45,Mn,-14.3221074
Ca3N2,-44.13852461,-0.91,N,-9.0729491
Ca3P2,-43.41089333,-1.22,Na,-3.54078997
CdCl2,-36.2162154,-1.35,Nb,-24.70876654
CdF2,-33.72115745,-2.42,Ni,-11.82322931
CdO,-28.56032489,-1.34,O,-5.93354306
CdS,-29.68661872,-0.78,P,-8.999011531
CdSb,-46.00400005,-0.07,Pd,-22.94555671
CdSe,-35.91046478,-0.75,Pt,-51.51702777
CdTe,-46.64078238,-0.48,Rb,-13.91701303
Cd3As2,-90.57437822,-0.08,Rh,-24.16743094
Cd3N2,-76.42386678,0.33,S,-8.030800828
Cd3P2,-78.92341371,-0.24,Sb,-25.69456917
CoF2,-26.18056404,-2.39,Sc,-11.30690795
CoF3,-30.81707827,-2.1,Se,-14.30663755
CoO,-21.48535843,-1.23,Si,-8.77408201
CoS,-21.95557931,-0.43,Sn,-24.74088779
CoSb3,-90.93682282,-0.17,Sr,-15.08917751
CoSe,-27.97026513,-0.32,Ta,-48.62758038
Co3O4,-73.15768991,-1.32,Te,-25.41102183
Co3S4,-75.56237026,-0.53,Ti,-12.89256991
CrF4,-40.4783117,-2.58,V,-14.06448075
CrN,-25.79561584,-0.65,Y,-20.26510647
CrO2,-33.3516885,-2.07,Zn,-8.37150127
CrS,-24.68705232,-0.81,Zr,-22.75577637
Cr2O3,-59.85223926,-2.36,,
CuF2,-22.47720082,-1.88,,
CuO,-18.31170544,-0.82,,
CuS,-19.41789792,-0.28,,
CuSe,-25.51672307,-0.21,,
Cu2O,-29.10618377,-0.58,,
Cu2S,-30.29282318,-0.28,,
Cu2Sb,-47.28906053,-0.04,,
Cu2Se,-36.26059617,-0.21,,
Cu2Te,-46.84251903,0.07,,
Cu3N,-40.71550924,0.19,,
Cu3P,-41.63197415,-0.17,,
Cu3Sb,-57.80909884,-0.02,,
FeF2,-27.67286575,-2.46,,
FeO,-22.77958108,-1.41,,
FeS,-23.28733819,-0.52,,
FeSe,-29.29593696,-0.39,,
Fe2O3,-55.04992066,-1.71,,
Fe3O4,-78.12014814,-1.66,,
GaAs,-27.05263488,-0.37,,
GaCl3,-34.76295456,-1.36,,
GaF3,-32.23640221,-3.01,,
GaN,-21.91163549,-0.81,,
GaP,-21.46218592,-0.53,,
GaS,-21.00064428,-1.09,,
GaSb,-37.60232099,-0.22,,
GaSe,-27.12977213,-0.83,,
Ga2O3,-51.22373047,-2.26,,
Ga2S3,-50.96335135,-1.07,,
Ga2Se3,-69.30932577,-0.85,,
GeO2,-31.29266482,-2,,
GeS,-22.37588225,-0.39,,
GeS2,-31.08826725,-0.66,,
GeSe,-28.56596839,-0.48,,
Ge3N4,-79.22499595,-0.09,,
HfN,-58.26941842,-1.91,,
HfO2,-68.7703521,-3.95,,
HgCl2,-63.71068952,-0.77,,
HgO,-56.05956831,-0.47,,
HgS,-57.73849016,-0.3,,
HgSe,-64.14678736,-0.24,,
HgTe,-75.16142931,-0.22,,
InAs,-38.03032562,-0.31,,
InN,-31.86535278,-0.1,,
InP,-32.22029132,-0.39,,
InS,-31.96252429,-0.7,,
InSb,-48.74388708,-0.16,,
InSe,-38.2379668,-0.62,,
InTe,-48.79022354,-0.5,,
In2O3,-72.4932795,-1.92,,
In2S3,-72.95163337,-0.74,,
In2Se3,-91.50499201,-0.67,,
In2Te3,-123.5889229,-0.41,,
IrO2,-67.0547251,-0.95,,
IrS2,-69.92783537,-0.48,,
Ir2S3,-131.2479589,-0.49,,
KCl,-16.44177066,-2.26,,
KF,-14.88090557,-2.94,,
KSb,-32.81082452,-0.43,,
KSb2,-58.54328741,-0.37,,
K2O,-21.35979939,-1.25,,
K2O2,-28.54282112,-1.28,,
K2S,-23.68744192,-1.31,,
K2S2,-32.36804712,-1.12,,
K2Se,-30.10841864,-1.36,,
K3As,-34.43706657,-0.48,,
K3Bi,-78.42566207,-0.6,,
K3Sb,-45.80478893,-0.47,,
K5Sb4,-137.822503,-0.44,,
LaCl3,-58.99688407,-2.78,,
LaN,-42.02521619,-1.57,,
