Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Ir2S3,-0.49,-0.4483402345999991,-0.49590100853147306
KCl,-2.26,-2.215977855,-2.2298324612606013
KF,-2.94,-2.9213509350000013,-2.907258917717879
KSb,-0.43,-0.5144259600000005,-0.4857756584978752
KSb2,-0.37,-0.3434677333333364,-0.27432248929802466
K2O,-1.25,-1.1816437816666674,-1.198505929386722
K2O2,-1.28,-1.213911187499999,-1.1927871460313693
K2S,-1.31,-1.2399804069999998,-1.2975816340325477
K2S2,-1.12,-1.0901022054999991,-1.1300867830001096
K2Se,-1.36,-1.2653305133333344,-1.3152752468963864
K3As,-0.48,-0.42440555750000186,-0.4421212421388976
K3Bi,-0.6,-0.45121557000000223,-0.492598248280558
K3Sb,-0.47,-0.49135821750000197,-0.5234503297976509
K5Sb4,-0.44,-0.5145318166666691,-0.49937982934227104
LaCl3,-2.78,-2.797388214999998,-2.7358481875824125
LaN,-1.57,-1.6239411799999992,-1.3322994223864555
LaS,-2.36,-2.422931875499998,-2.3911071054805575
La2O3,-3.72,-3.808516433,-3.707153200002517
La2S3,-2.51,-2.515289890599999,-2.4872570003650054
La2Te3,-1.63,-1.7915738580000038,-1.7245692190261082
LiCl,-2.12,-2.0818576165000007,-2.10251721891548
LiF,-3.19,-3.2155420665,-3.208255045372756
Li2O,-2.07,-2.0494937869999994,-2.0754292629265585
Li2O2,-1.64,-1.6175291889999999,-1.6032101436862485
Li2S,-1.52,-1.5225120656666669,-1.5891866209057188
Li2Se,-1.45,-1.425030468666666,-1.4840485304362225
Li3Bi,-0.6,-0.5936954847500004,-0.6452856572628782
Li3N,-0.43,-0.5022579497499997,-0.44896650198403343
Li3Sb,-0.83,-0.6935138872500008,-0.7358134937799683
MgCl2,-2.21,-2.1636430966666667,-2.205718199808357
MgF2,-3.88,-3.8893185533333328,-3.8941314917513914
MgO,-3.11,-3.080353797499999,-3.141050461271414
MgS,-1.79,-1.6719959204999997,-1.793801203240152
MgSe,-1.52,-1.4494488399999987,-1.559769382535908
MgTe,-1.08,-0.9896770650000022,-1.0790058904577364
Mg3As2,-0.91,-0.7497581740000001,-0.8205874000518335
Mg3Bi2,-0.32,-0.26177072599999746,-0.3704671418784926
Mg3N2,-0.96,-1.0132083139999992,-0.9540941374323438
Mg3P2,-0.96,-0.8128687360000001,-0.9659696610188533
Mg3Sb2,-0.49,-0.4232632859999995,-0.5170947963058381
MnO,-2.0,-2.0325565225,-1.8124943069841972
MnS,-1.11,-1.175624965499999,-1.0166713689529345
MnS2,-0.72,-0.8647398506666685,-0.7544823292695545
MnSb,-0.26,-0.36708214000000083,-0.13949366445070055
Mn2O3,-1.99,-2.247907681000001,-2.044841386780419
Mn3O4,-2.05,-2.2651041985714295,-2.0571819268386418
NaCl,-2.13,-2.1263367000000013,-2.095907019904403
NaF,-2.97,-3.0657736,-3.0073972963616784
NaSb,-0.33,-0.4083855600000028,-0.3354509721416754
NaTe3,-0.35,-0.4766618725000029,-0.4193646465997247
Na2O,-1.43,-1.4829275283333334,-1.4407439609117887
Na2O2,-1.32,-1.3491958075000001,-1.28378747967517
Na2S,-1.26,-1.304470163666667,-1.3030256755576157
Na2S2,-1.03,-1.0317127929999987,-1.0274130841439089
Na2Se,-1.18,-1.2766228933333323,-1.267521911754784
Na2Se2,-0.97,-1.0106724474999993,-0.9948879984396655
Na3As,-0.53,-0.5452746175000005,-0.49656387260459844
Na3Bi,-0.46,-0.46358731750000004,-0.4385435662462598
Na3Sb,-0.53,-0.5332746325000013,-0.4989403152633507
NbN,-1.22,-1.2737520800000013,-1.2225989072490968
NbO2,-2.75,-2.7128192466666667,-2.7661618409047435
Nb2O5,-2.81,-2.779740767857145,-2.806165475913399
NiF2,-2.25,-2.4064557166666667,-2.325954600261447
NiO,-1.24,-1.3507986874999993,-1.283524269036496
NiS,-0.43,-0.5355451804999998,-0.529379381005235
NiSb,-0.34,-0.37062728999999806,-0.29582661150299927
NiSe,-0.31,-0.3886825499999986,-0.3710320103009934
NiTe,-0.28,-0.28086001999999866,-0.24221776322281485
Ni2O3,-1.01,-1.0289386949999995,-0.9481026384222588
Ni2Te3,-0.3,-0.25680064200000174,-0.2103231794458452
Ni3P,-0.54,-0.5323353024999999,-0.5322452335009746
Ni3S2,-0.42,-0.5006242283999995,-0.4957983432257237
PdCl2,-0.69,-0.6766685399999991,-0.5985284368136448
PdO,-0.44,-0.6864892725000011,-0.5668631267793494
PdS,-0.39,-0.48958353049999914,-0.4310660037480858
PdS2,-0.28,-0.36248941733333123,-0.31918927579965367
Pd4S,-0.14,-0.21695825020000256,-0.1310494300552648
PtO,-0.37,-0.4172839725000017,-0.16004683070618597
PtO2,-0.57,-0.7532135066666635,-0.5366945424592302
PtS,-0.42,-0.560956330499998,-0.36482780767492784
PtS2,-0.38,-0.5157782539999971,-0.3807374484175483
Pt3O4,-0.4,-0.669689101428572,-0.42990260717177925
RbCl,-2.26,-2.2183859550000005,-2.2396830868768998
RbF,-2.89,-2.89480923,-2.888159738334174
RbSb,-0.52,-0.5208630499999991,-0.49965527411416844
RbSb2,-0.35,-0.3530261766666645,-0.28884261637555636
Rb2O,-1.17,-1.1124121883333327,-1.1391977035417848
Rb2O2,-1.22,-1.1977141574999983,-1.184032641647665
Rb2S,-1.25,-1.2071538203333319,-1.2746784148542762
Rb3Sb,-0.45,-0.45615727500000247,-0.499413175722097
RhCl3,-0.78,-0.8869041124999981,-0.7860946161575662
RhO2,-0.85,-1.055703459999999,-0.896361039096521
Rh2O3,-0.84,-1.0011490930000009,-0.8369547097227639
Rh2S3,-0.54,-0.6175631725999977,-0.5266991320852498
ScAs,-1.39,-1.5530165999999994,-1.48634210060726
ScCl3,-2.4,-2.4323720525,-2.402101027555636
ScF3,-4.22,-4.2931250925,-4.220934132241551
Sc2O3,-3.94,-3.970850345000001,-3.919517515959673
SiO2,-3.13,-3.0880142033333335,-3.051580129718546
SiS2,-0.88,-0.7499092573333334,-0.7949533423435303
SiSe2,-0.61,-0.4958448733333327,-0.5255759714045402
Si3N4,-1.1,-1.3707569928571428,-1.1354129366476238
SnO,-1.48,-1.4209586324999997,-1.4833444193920577
SnO2,-1.97,-1.9352483099999986,-1.9318112982498097
SnS,-0.57,-0.45923040549999783,-0.5827248113607943
SnS2,-0.53,-0.44406675399999784,-0.5221079008747935
SnSe,-0.47,-0.41569332499999945,-0.5277029906565538
SnSe2,-0.43,-0.36417115999999794,-0.4268993199357993
SrO,-3.07,-3.049392772500001,-3.1199334452892344
SrO2,-2.19,-2.1755699366666668,-2.1775695155145933
SrS,-2.45,-2.4563990055,-2.5880482972579717
Sr2Bi,-1.08,-0.8767545500000011,-1.0232062313520913
Sr2Sb,-1.11,-0.9762841699999996,-1.110348430041545
TaN,-1.3,-1.355300365000005,-1.2746297134772533
TaS2,-1.22,-1.121771090666665,-1.2369135243484994
TiAs,-0.78,-0.9920838149999973,-0.8997697307764589
TiCl4,-1.7,-1.7678055420000007,-1.720307825396945
TiN,-1.58,-1.9294969199999983,-1.674753582502099
TiO2,-3.26,-3.2551021299999996,-3.17271794774008
TiS,-1.41,-1.6037552004999984,-1.6088288505962005
TiS2,-1.41,-1.4304249373333324,-1.4295189136983975
Ti2O3,-3.15,-3.1493490930000005,-3.0775045960950322
VF4,-2.91,-3.0349507280000005,-2.921407654897183
VN,-1.13,-1.3460076049999987,-1.03793737042359
VO,-2.24,-2.2995696925000004,-2.190207826548953
VO2,-2.47,-2.6240223133333322,-2.5060868663544063
V2O3,-2.53,-2.6798168070000004,-2.565310792432224
V2O5,-2.29,-2.3936209564285713,-2.2732359148702495
YAs,-1.68,-1.7757949900000014,-1.711653916321545
YCl3,-2.59,-2.6273838749999996,-2.598379562912779
YF3,-4.45,-4.534848,-4.463923752598694
Y2O3,-3.95,-3.984053979000001,-3.934747890531102
ZnCl2,-1.43,-1.4578466500000005,-1.4334418447926407
ZnF2,-2.64,-2.7890602899999997,-2.727393320069009
ZnO,-1.81,-1.9339130175,-1.8948898187478402
ZnP2,-0.21,-0.32371324666666607,-0.34141758896403235
ZnS,-1.07,-1.0558410654999992,-1.0779264857165796
ZnSb,-0.08,-0.03543312500000084,0.011116333785654575
ZnSe,-0.85,-0.8782620049999998,-0.8888626850123345
ZnTe,-0.61,-0.5305201850000003,-0.5201291479341599
Zn3As2,-0.28,-0.22438578000000006,-0.17555117102354528
Zn3N2,-0.05,-0.29087269599999954,-0.11209468440405317
Zn3P2,-0.33,-0.3010409299999992,-0.3344780199905671
ZrN,-1.89,-2.023070865000001,-1.9197242859488277
ZrO2,-3.8,-3.84442559,-3.862972580037898
ZrS2,-1.96,-1.777186080666669,-1.8772112293295489
