Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
Ag2O,-47.853257,-0.11,Ag,-20.67340679
Ag2O2,-53.89412072,-0.06,Al,-6.73109404
Ag2S,-49.83310695,-0.11,As,-14.7035291
Ag2Se,-56.17472392,-0.15,Au,-49.60477341
AlAs,-22.6911393,-0.61,Ba,-26.43243314
AlCl3,-31.94322735,-1.82,Be,-4.339623803
AlF3,-31.54347847,-3.9,Bi,-58.49761314
AlN,-19.22838222,-1.61,Ca,-7.03010808
AlP,-17.20697883,-0.85,Cd,-20.09410207
Al2O3,-48.13496321,-3.47,Cl,-6.051024105
Al2S3,-43.74128855,-1.5,Co,-10.86818464
Al2Se3,-61.42473055,-1.18,Cr,-12.39809567
Al2Te3,-92.4972848,-0.68,Cu,-10.13148112
AuCl,-56.31476845,-0.18,F,-3.06673375
AuCl3,-69.2998188,-0.3,Fe,-11.06691713
AuF3,-63.40414779,-0.94,Ga,-11.43824635
BaO,-37.82775833,-2.86,Ge,-13.85929885
BaO2,-44.53449564,-2.19,Hf,-43.57648997
BaS,-39.20655929,-2.38,Hg,-49.36530571
BeO,-16.29497044,-3.14,In,-22.58277901
BeS,-14.78384261,-1.21,Ir,-50.33325667
Be3N2,-37.46760739,-1.22,K,-5.978287735
CaCl2,-27.26414916,-2.75,La,-28.9843886
CaF2,-25.954205,-4.21,Li,-2.340161603
CaO,-19.46082773,-3.29,Mg,-4.1482446
CaS,-19.93150237,-2.45,Mn,-11.84963054
Ca3N2,-44.13852461,-0.91,N,-9.0729491
Ca3P2,-43.41089333,-1.22,Na,-3.54078997
CdCl2,-36.2162154,-1.35,Nb,-22.61147251
CdF2,-33.72115745,-2.42,Ni,-10.51208815
CdO,-28.56032489,-1.34,O,-5.93354306
CdS,-29.68661872,-0.78,P,-8.999011531
CdSb,-46.00400005,-0.07,Pd,-21.78196153
CdSe,-35.91046478,-0.75,Pt,-50.03529041
CdTe,-46.64078238,-0.48,Rb,-13.91701303
Cd3As2,-90.57437822,-0.08,Rh,-22.2979257
Cd3N2,-76.42386678,0.33,S,-8.030800828
Cd3P2,-78.92341371,-0.24,Sb,-25.69456917
CoF2,-25.80659052,-2.39,Sc,-10.33684341
CoF3,-30.20969485,-2.1,Se,-14.30663755
CoO,-20.84450068,-1.23,Si,-8.77408201
CoS,-21.00102269,-0.43,Sn,-24.74088779
CoSb3,-89.18775373,-0.17,Sr,-15.08917751
CoSe,-27.07460266,-0.32,Ta,-46.43879649
Co3O4,-69.61813875,-1.32,Te,-25.41102183
Co3S4,-71.62399592,-0.53,Ti,-11.12681117
CrF4,-38.94334058,-2.58,V,-11.79791206
