Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
NiTe,-5.86841784,-0.28,,
Ni2O3,-24.27477163,-1.01,,
Ni2Te3,-15.18850616,-0.3,,
Ni3P,-14.49557837,-0.54,,
Ni3S2,-17.51719659,-0.42,,
PdCl2,-8.882105777,-0.69,,
PdO,-9.64533459,-0.44,,
PdS,-8.483641553,-0.39,,
PdS2,-12.71883199,-0.28,,
Pd4S,-19.40606538,-0.14,,
PtO,-10.87463445,-0.37,,
PtO2,-16.74624174,-0.57,,
PtS,-10.32729253,-0.42,,
PtS2,-14.64713714,-0.38,,
Pt3O4,-39.05383408,-0.4,,
RbCl,-6.67581037,-2.26,,
RbF,-8.06558661,-2.89,,
RbSb,-5.934140638,-0.52,,
RbSb2,-10.11883851,-0.35,,
Rb2O,-9.540649,-1.17,,
Rb2O2,-15.79683883,-1.22,,
Rb2S,-9.02061155,-1.25,,
Rb3Sb,-8.39266164,-0.45,,
RhCl3,-14.54723168,-0.78,,
RhO2,-18.73447372,-0.85,,
Rh2O3,-31.33325399,-0.84,,
Rh2S3,-27.54677468,-0.54,,
ScAs,-13.18585176,-1.39,,
ScCl3,-19.75168919,-2.4,,
ScF3,-27.07314742,-4.22,,
Sc2O3,-44.18080282,-3.94,,
SiO2,-23.70678063,-3.13,,
SiS2,-15.69983662,-0.88,,
SiSe2,-13.7759441,-0.61,,
Si3N4,-57.27135504,-1.1,,
SnO,-11.4200161,-1.48,,
SnO2,-18.77292401,-1.97,,
SnS,-8.866202323,-0.57,,
SnS2,-13.24160285,-0.53,,
SnSe,-8.219867948,-0.47,,
SnSe2,-11.89335436,-0.43,,
SrO,-12.05486101,-3.07,,
SrO2,-17.21715998,-2.19,,
SrS,-10.06023706,-2.45,,
Sr2Bi,-9.42568588,-1.08,,
Sr2Sb,-9.996611905,-1.11,,
TaN,-19.14706983,-1.3,,
TaS2,-19.94822905,-1.22,,
TiAs,-10.40614984,-0.78,,
TiCl4,-19.08306665,-1.7,,
TiN,-15.30275805,-1.58,,
TiO2,-22.78804686,-3.26,,
TiS,-10.83034664,-1.41,,
TiS2,-16.38658127,-1.41,,
Ti2O3,-37.12894369,-3.15,,
VF4,-26.9422092,-2.91,,
VN,-15.46300454,-1.13,,
VO,-15.47778794,-2.24,,
VO2,-22.41268521,-2.47,,
V2O3,-39.00588631,-2.53,,
V2O5,-50.11673385,-2.29,,
YAs,-13.21365228,-1.68,,
YCl3,-20.2808094,-2.59,,
YF3,-27.48683504,-4.45,,
Y2O3,-43.5975013,-3.95,,
ZnCl2,-7.95673107,-1.43,,
ZnF2,-11.61661349,-2.64,,
ZnO,-8.86067267,-1.81,,
ZnP2,-12.18535451,-0.21,,
ZnS,-6.499855171,-1.07,,
ZnSb,-4.784771778,-0.08,,
ZnSe,-5.63006207,-0.85,,
ZnTe,-4.71868648,-0.61,,
Zn3As2,-12.00397661,-0.28,,
Zn3N2,-18.80371059,-0.05,,
Zn3P2,-13.75328133,-0.33,,
ZrN,-18.16236773,-1.89,,
ZrO2,-26.9471737,-3.8,,
ZrS2,-19.57542322,-1.96,,
